backend	dataset	grid_rows	grid_cols	iterations	epochs	sigma	learning_rate	neighborhood_function	batch_size	train_len_factor	initialization	mapshape	pareto_fraction	n_threshold_steps	threshold_anchor	n_clusters	n_assigned	n_wrong	purity	coverage	paper_score	elapsed_s
intrasom	chainlink	50	82		10							toroid	0.15	100	upper	1	998	499	0.5000	0.9980	0.5994	2.6
intrasom	chainlink	40	60		10							toroid	0.15	100	upper	4	971	400	0.5881	0.9710	0.7265	1.1
intrasom	chainlink	60	100		10							toroid	0.15	100	upper	6	984	344	0.6504	0.9840	0.5554	4.8
intrasom	chainlink	50	82		10							toroid	0.15	200	upper	1	998	499	0.5000	0.9980	0.5994	2.7
intrasom	chainlink	40	60		10							toroid	0.15	200	upper	5	969	314	0.6760	0.9690	0.6611	1.2
intrasom	chainlink	60	100		10							toroid	0.15	200	upper	6	984	344	0.6504	0.9840	0.5554	5.2
intrasom	chainlink	50	82		10							toroid	0.2013	100	upper	1	998	499	0.5000	0.9980	0.5994	2.5
intrasom	chainlink	40	60		10							toroid	0.2013	100	upper	4	971	400	0.5881	0.9710	0.7265	1.1
intrasom	chainlink	60	100		10							toroid	0.2013	100	upper	6	984	344	0.6504	0.9840	0.5554	4.8
intrasom	chainlink	50	82		10							toroid	0.2013	200	upper	1	998	499	0.5000	0.9980	0.5994	2.8
intrasom	chainlink	40	60		10							toroid	0.2013	200	upper	5	969	314	0.6760	0.9690	0.6611	1.2
intrasom	chainlink	60	100		10							toroid	0.2013	200	upper	6	984	344	0.6504	0.9840	0.5554	5.1
intrasom	chainlink	50	82		10							toroid	0.25	100	upper	1	998	499	0.5000	0.9980	0.5994	2.5
intrasom	chainlink	40	60		10							toroid	0.25	100	upper	4	971	400	0.5881	0.9710	0.7265	1.0
intrasom	chainlink	60	100		10							toroid	0.25	100	upper	6	984	344	0.6504	0.9840	0.5554	4.9
intrasom	chainlink	50	82		10							toroid	0.25	200	upper	1	998	499	0.5000	0.9980	0.5994	2.7
intrasom	chainlink	40	60		10							toroid	0.25	200	upper	5	969	314	0.6760	0.9690	0.6611	1.2
intrasom	chainlink	60	100		10							toroid	0.25	200	upper	6	984	344	0.6504	0.9840	0.5554	5.2
