backend	dataset	grid_rows	grid_cols	iterations	epochs	sigma	learning_rate	neighborhood_function	batch_size	train_len_factor	initialization	mapshape	pareto_fraction	n_threshold_steps	threshold_anchor	n_clusters	n_assigned	n_wrong	purity	coverage	paper_score	elapsed_s
intrasom	chainlink_u	50	82		10							toroid	0.15	100	upper	1	998	499	0.5000	0.9980	0.6494	2.7
intrasom	chainlink_u	50	82		10							toroid	0.15	200	upper	1	998	499	0.5000	0.9980	0.6494	2.8
intrasom	chainlink_u	50	82		10							toroid	0.2013	100	upper	1	998	499	0.5000	0.9980	0.6494	2.6
intrasom	chainlink_u	50	82		10							toroid	0.2013	200	upper	1	998	499	0.5000	0.9980	0.6494	2.8
intrasom	chainlink_u	50	82		10							toroid	0.25	100	upper	1	998	499	0.5000	0.9980	0.6494	2.7
intrasom	chainlink_u	50	82		10							toroid	0.25	200	upper	1	998	499	0.5000	0.9980	0.6494	2.9
intrasom	chainlink_u	50	82		10							planar	0.15	100	upper	2	989	342	0.6542	0.9890	0.8584	18.6
intrasom	chainlink_u	50	82		10							planar	0.15	200	upper	2	989	342	0.6542	0.9890	0.8584	19.0
intrasom	chainlink_u	50	82		10							planar	0.2013	100	upper	2	989	342	0.6542	0.9890	0.8584	17.4
intrasom	chainlink_u	50	82		10							planar	0.2013	200	upper	2	989	342	0.6542	0.9890	0.8584	17.7
intrasom	chainlink_u	50	82		10							planar	0.25	100	upper	2	989	342	0.6542	0.9890	0.8584	17.5
intrasom	chainlink_u	50	82		10							planar	0.25	200	upper	2	989	342	0.6542	0.9890	0.8584	17.7
intrasom	chainlink_u	50	82		30							toroid	0.15	100	upper	4	998	292	0.7074	0.9980	0.5824	4.1
intrasom	chainlink_u	50	82		30							toroid	0.15	200	upper	4	998	292	0.7074	0.9980	0.5824	4.3
intrasom	chainlink_u	50	82		30							toroid	0.2013	100	upper	4	998	292	0.7074	0.9980	0.5824	4.1
intrasom	chainlink_u	50	82		30							toroid	0.2013	200	upper	4	998	292	0.7074	0.9980	0.5824	4.3
intrasom	chainlink_u	50	82		30							toroid	0.25	100	upper	4	998	292	0.7074	0.9980	0.5824	4.1
intrasom	chainlink_u	50	82		30							toroid	0.25	200	upper	4	998	292	0.7074	0.9980	0.5824	4.3
intrasom	chainlink_u	50	82		30							planar	0.15	100	upper	1	994	496	0.5010	0.9940	0.6486	19.3
intrasom	chainlink_u	50	82		30							planar	0.15	200	upper	1	994	496	0.5010	0.9940	0.6486	19.7
intrasom	chainlink_u	50	82		30							planar	0.2013	100	upper	1	994	496	0.5010	0.9940	0.6486	19.5
intrasom	chainlink_u	50	82		30							planar	0.2013	200	upper	1	994	496	0.5010	0.9940	0.6486	19.9
intrasom	chainlink_u	50	82		30							planar	0.25	100	upper	1	994	496	0.5010	0.9940	0.6486	19.6
intrasom	chainlink_u	50	82		30							planar	0.25	200	upper	1	994	496	0.5010	0.9940	0.6486	19.8
intrasom	chainlink_u	50	82		80							toroid	0.15	100	upper	8	997	349	0.6499	0.9970	0.5591	8.5
intrasom	chainlink_u	50	82		80							toroid	0.15	200	upper	8	996	348	0.6506	0.9960	0.5590	8.6
intrasom	chainlink_u	50	82		80							toroid	0.2013	100	upper	8	997	349	0.6499	0.9970	0.5591	8.3
intrasom	chainlink_u	50	82		80							toroid	0.2013	200	upper	8	996	348	0.6506	0.9960	0.5590	8.8
intrasom	chainlink_u	50	82		80							toroid	0.25	100	upper	8	997	349	0.6499	0.9970	0.5591	8.3
intrasom	chainlink_u	50	82		80							toroid	0.25	200	upper	8	996	348	0.6506	0.9960	0.5590	8.6
intrasom	chainlink_u	50	82		80							planar	0.15	100	upper	3	988	332	0.6640	0.9880	0.7120	23.3
intrasom	chainlink_u	50	82		80							planar	0.15	200	upper	3	988	332	0.6640	0.9880	0.7120	24.0
intrasom	chainlink_u	50	82		80							planar	0.2013	100	upper	3	988	332	0.6640	0.9880	0.7120	23.4
intrasom	chainlink_u	50	82		80							planar	0.2013	200	upper	3	988	332	0.6640	0.9880	0.7120	24.9
intrasom	chainlink_u	50	82		80							planar	0.25	100	upper	3	988	332	0.6640	0.9880	0.7120	25.5
intrasom	chainlink_u	50	82		80							planar	0.25	200	upper	3	988	332	0.6640	0.9880	0.7120	27.4
