backend	dataset	grid_rows	grid_cols	iterations	epochs	sigma	learning_rate	neighborhood_function	batch_size	train_len_factor	initialization	mapshape	pareto_fraction	n_threshold_steps	threshold_anchor	n_clusters	n_assigned	n_wrong	purity	coverage	paper_score	elapsed_s
intrasom	lsun	50	82		10							toroid	0.15	100	upper	4	398	197	0.5050	0.9851	0.6976	2.4
intrasom	lsun	40	60		10							toroid	0.15	100	upper	6	382	226	0.4084	0.9455	0.4470	1.0
intrasom	lsun	60	100		10							toroid	0.15	100	upper	5	403	197	0.5112	0.9975	0.6037	5.0
intrasom	lsun	50	82		10							toroid	0.15	200	upper	4	397	197	0.5038	0.9827	0.6963	2.7
intrasom	lsun	40	60		10							toroid	0.15	200	upper	6	382	226	0.4084	0.9455	0.4470	1.1
intrasom	lsun	60	100		10							toroid	0.15	200	upper	5	403	197	0.5112	0.9975	0.6037	5.1
intrasom	lsun	50	82		10							toroid	0.2013	100	upper	4	398	197	0.5050	0.9851	0.6976	2.4
intrasom	lsun	40	60		10							toroid	0.2013	100	upper	6	382	226	0.4084	0.9455	0.4470	1.0
intrasom	lsun	60	100		10							toroid	0.2013	100	upper	5	403	197	0.5112	0.9975	0.6037	4.7
intrasom	lsun	50	82		10							toroid	0.2013	200	upper	4	397	197	0.5038	0.9827	0.6963	2.7
intrasom	lsun	40	60		10							toroid	0.2013	200	upper	6	382	226	0.4084	0.9455	0.4470	1.1
intrasom	lsun	60	100		10							toroid	0.2013	200	upper	5	403	197	0.5112	0.9975	0.6037	5.2
intrasom	lsun	50	82		10							toroid	0.25	100	upper	4	398	197	0.5050	0.9851	0.6976	2.5
intrasom	lsun	40	60		10							toroid	0.25	100	upper	6	382	226	0.4084	0.9455	0.4470	1.0
intrasom	lsun	60	100		10							toroid	0.25	100	upper	5	403	197	0.5112	0.9975	0.6037	4.7
intrasom	lsun	50	82		10							toroid	0.25	200	upper	4	397	197	0.5038	0.9827	0.6963	2.7
intrasom	lsun	40	60		10							toroid	0.25	200	upper	6	382	226	0.4084	0.9455	0.4470	1.1
intrasom	lsun	60	100		10							toroid	0.25	200	upper	5	403	197	0.5112	0.9975	0.6037	5.1
intrasom	lsun	50	82		10							planar	0.15	100	upper	3	403	201	0.5012	0.9975	0.7998	18.0
intrasom	lsun	40	60		10							planar	0.15	100	upper	21	338	48	0.8580	0.8366	0.5942	6.3
intrasom	lsun	60	100		10							planar	0.15	100	upper	2	403	199	0.5062	0.9975	0.7017	38.1
intrasom	lsun	50	82		10							planar	0.15	200	upper	3	403	201	0.5012	0.9975	0.7998	18.3
intrasom	lsun	40	60		10							planar	0.15	200	upper	27	323	55	0.8297	0.7995	0.5717	6.4
intrasom	lsun	60	100		10							planar	0.15	200	upper	2	403	199	0.5062	0.9975	0.7017	38.4
intrasom	lsun	50	82		10							planar	0.2013	100	upper	3	403	201	0.5012	0.9975	0.7998	18.0
intrasom	lsun	40	60		10							planar	0.2013	100	upper	21	338	48	0.8580	0.8366	0.5942	6.3
intrasom	lsun	60	100		10							planar	0.2013	100	upper	2	403	199	0.5062	0.9975	0.7017	37.9
intrasom	lsun	50	82		10							planar	0.2013	200	upper	3	403	201	0.5012	0.9975	0.7998	18.2
intrasom	lsun	40	60		10							planar	0.2013	200	upper	27	323	55	0.8297	0.7995	0.5717	6.4
intrasom	lsun	60	100		10							planar	0.2013	200	upper	2	403	199	0.5062	0.9975	0.7017	38.4
intrasom	lsun	50	82		10							planar	0.25	100	upper	3	403	201	0.5012	0.9975	0.7998	18.0
intrasom	lsun	40	60		10							planar	0.25	100	upper	21	338	48	0.8580	0.8366	0.5942	6.2
intrasom	lsun	60	100		10							planar	0.25	100	upper	2	403	199	0.5062	0.9975	0.7017	38.3
intrasom	lsun	50	82		10							planar	0.25	200	upper	3	403	201	0.5012	0.9975	0.7998	18.3
intrasom	lsun	40	60		10							planar	0.25	200	upper	27	323	55	0.8297	0.7995	0.5717	6.4
intrasom	lsun	60	100		10							planar	0.25	200	upper	2	403	199	0.5062	0.9975	0.7017	38.5
intrasom	lsun	50	82		30							toroid	0.15	100	upper	8	397	125	0.6851	0.9827	0.5689	4.1
intrasom	lsun	40	60		30							toroid	0.15	100	upper	14	360	90	0.7500	0.8911	0.5673	1.5
intrasom	lsun	60	100		30							toroid	0.15	100	upper	10	402	188	0.5323	0.9950	0.5115	7.6
intrasom	lsun	50	82		30							toroid	0.15	200	upper	8	397	125	0.6851	0.9827	0.5689	4.3
intrasom	lsun	40	60		30							toroid	0.15	200	upper	15	360	90	0.7500	0.8911	0.5673	1.7
intrasom	lsun	60	100		30							toroid	0.15	200	upper	10	402	188	0.5323	0.9950	0.5115	8.1
intrasom	lsun	50	82		30							toroid	0.2013	100	upper	8	397	125	0.6851	0.9827	0.5689	4.0
intrasom	lsun	40	60		30							toroid	0.2013	100	upper	14	360	90	0.7500	0.8911	0.5673	1.5
intrasom	lsun	60	100		30							toroid	0.2013	100	upper	10	402	188	0.5323	0.9950	0.5115	7.6
intrasom	lsun	50	82		30							toroid	0.2013	200	upper	8	397	125	0.6851	0.9827	0.5689	4.3
intrasom	lsun	40	60		30							toroid	0.2013	200	upper	15	360	90	0.7500	0.8911	0.5673	1.7
intrasom	lsun	60	100		30							toroid	0.2013	200	upper	10	402	188	0.5323	0.9950	0.5115	8.0
intrasom	lsun	50	82		30							toroid	0.25	100	upper	8	397	125	0.6851	0.9827	0.5689	4.0
intrasom	lsun	40	60		30							toroid	0.25	100	upper	14	360	90	0.7500	0.8911	0.5673	1.5
intrasom	lsun	60	100		30							toroid	0.25	100	upper	10	402	188	0.5323	0.9950	0.5115	7.7
intrasom	lsun	50	82		30							toroid	0.25	200	upper	8	397	125	0.6851	0.9827	0.5689	4.3
intrasom	lsun	40	60		30							toroid	0.25	200	upper	15	360	90	0.7500	0.8911	0.5673	1.8
intrasom	lsun	60	100		30							toroid	0.25	200	upper	10	402	188	0.5323	0.9950	0.5115	7.9
intrasom	lsun	50	82		30							planar	0.15	100	upper	2	404	200	0.5050	1.0000	0.7020	19.6
intrasom	lsun	40	60		30							planar	0.15	100	upper	2	399	197	0.5063	0.9876	0.6988	6.8
intrasom	lsun	60	100		30							planar	0.15	100	upper	2	404	200	0.5050	1.0000	0.7020	40.9
intrasom	lsun	50	82		30							planar	0.15	200	upper	2	404	200	0.5050	1.0000	0.7020	20.5
intrasom	lsun	40	60		30							planar	0.15	200	upper	2	398	196	0.5075	0.9851	0.6986	7.0
intrasom	lsun	60	100		30							planar	0.15	200	upper	2	404	200	0.5050	1.0000	0.7020	41.3
intrasom	lsun	50	82		30							planar	0.2013	100	upper	2	404	200	0.5050	1.0000	0.7020	19.8
intrasom	lsun	40	60		30							planar	0.2013	100	upper	2	399	197	0.5063	0.9876	0.6988	6.9
intrasom	lsun	60	100		30							planar	0.2013	100	upper	2	404	200	0.5050	1.0000	0.7020	41.2
intrasom	lsun	50	82		30							planar	0.2013	200	upper	2	404	200	0.5050	1.0000	0.7020	20.0
intrasom	lsun	40	60		30							planar	0.2013	200	upper	2	398	196	0.5075	0.9851	0.6986	6.9
intrasom	lsun	60	100		30							planar	0.2013	200	upper	2	404	200	0.5050	1.0000	0.7020	42.6
intrasom	lsun	50	82		30							planar	0.25	100	upper	2	404	200	0.5050	1.0000	0.7020	19.3
intrasom	lsun	40	60		30							planar	0.25	100	upper	2	399	197	0.5063	0.9876	0.6988	6.8
intrasom	lsun	60	100		30							planar	0.25	100	upper	2	404	200	0.5050	1.0000	0.7020	41.1
intrasom	lsun	50	82		30							planar	0.25	200	upper	2	404	200	0.5050	1.0000	0.7020	19.2
intrasom	lsun	40	60		30							planar	0.25	200	upper	2	398	196	0.5075	0.9851	0.6986	6.8
intrasom	lsun	60	100		30							planar	0.25	200	upper	2	404	200	0.5050	1.0000	0.7020	40.0
intrasom	lsun	50	82		80							toroid	0.15	100	upper	9	391	31	0.9207	0.9678	0.6586	7.5
intrasom	lsun	40	60		80							toroid	0.15	100	upper	6	383	180	0.5300	0.9480	0.4964	2.7
intrasom	lsun	60	100		80							toroid	0.15	100	upper	4	402	185	0.5398	0.9950	0.7144	14.3
