backend	dataset	grid_rows	grid_cols	iterations	epochs	sigma	learning_rate	neighborhood_function	batch_size	train_len_factor	initialization	mapshape	pareto_fraction	n_threshold_steps	threshold_anchor	n_clusters	n_assigned	n_wrong	purity	coverage	paper_score	elapsed_s
intrasom	twodiamonds	40	50		10							toroid	0.15	100	upper	7	634	197	0.6893	0.7925	0.5135	0.7
intrasom	twodiamonds	30	40		10							toroid	0.15	100	upper	21	457	126	0.7243	0.5713	0.4611	0.4
intrasom	twodiamonds	50	60		10							toroid	0.15	100	upper	1	759	377	0.5033	0.9487	0.6359	1.5
intrasom	twodiamonds	40	50		10							toroid	0.15	200	upper	8	634	197	0.6893	0.7925	0.5135	0.9
intrasom	twodiamonds	30	40		10							toroid	0.15	200	upper	20	445	119	0.7326	0.5563	0.4599	0.4
intrasom	twodiamonds	50	60		10							toroid	0.15	200	upper	1	758	377	0.5026	0.9475	0.6353	1.7
intrasom	twodiamonds	40	50		10							toroid	0.2013	100	upper	7	634	197	0.6893	0.7925	0.5135	0.7
intrasom	twodiamonds	30	40		10							toroid	0.2013	100	upper	21	457	126	0.7243	0.5713	0.4611	0.4
intrasom	twodiamonds	50	60		10							toroid	0.2013	100	upper	1	759	377	0.5033	0.9487	0.6359	1.4
intrasom	twodiamonds	40	50		10							toroid	0.2013	200	upper	8	634	197	0.6893	0.7925	0.5135	0.9
intrasom	twodiamonds	30	40		10							toroid	0.2013	200	upper	20	445	119	0.7326	0.5563	0.4599	0.4
intrasom	twodiamonds	50	60		10							toroid	0.2013	200	upper	1	758	377	0.5026	0.9475	0.6353	1.6
intrasom	twodiamonds	40	50		10							toroid	0.25	100	upper	7	634	197	0.6893	0.7925	0.5135	0.8
intrasom	twodiamonds	30	40		10							toroid	0.25	100	upper	21	457	126	0.7243	0.5713	0.4611	0.4
intrasom	twodiamonds	50	60		10							toroid	0.25	100	upper	1	759	377	0.5033	0.9487	0.6359	1.4
intrasom	twodiamonds	40	50		10							toroid	0.25	200	upper	8	634	197	0.6893	0.7925	0.5135	0.9
intrasom	twodiamonds	30	40		10							toroid	0.25	200	upper	20	445	119	0.7326	0.5563	0.4599	0.5
intrasom	twodiamonds	50	60		10							toroid	0.25	200	upper	1	758	377	0.5026	0.9475	0.6353	1.6
intrasom	twodiamonds	40	50		10							planar	0.15	100	upper	1	761	378	0.5033	0.9513	0.6367	4.5
intrasom	twodiamonds	30	40		10							planar	0.15	100	upper	2	777	383	0.5071	0.9712	0.7942	1.7
intrasom	twodiamonds	50	60		10							planar	0.15	100	upper	5	720	349	0.5153	0.9000	0.4761	10.0
intrasom	twodiamonds	40	50		10							planar	0.15	200	upper	1	755	375	0.5033	0.9437	0.6344	4.4
intrasom	twodiamonds	30	40		10							planar	0.15	200	upper	2	772	380	0.5078	0.9650	0.7926	1.8
intrasom	twodiamonds	50	60		10							planar	0.15	200	upper	7	700	339	0.5157	0.8750	0.4688	10.0
intrasom	twodiamonds	40	50		10							planar	0.2013	100	upper	1	761	378	0.5033	0.9513	0.6367	4.6
intrasom	twodiamonds	30	40		10							planar	0.2013	100	upper	2	777	383	0.5071	0.9712	0.7942	1.7
intrasom	twodiamonds	50	60		10							planar	0.2013	100	upper	5	720	349	0.5153	0.9000	0.4761	9.9
intrasom	twodiamonds	40	50		10							planar	0.2013	200	upper	1	755	375	0.5033	0.9437	0.6344	4.6
intrasom	twodiamonds	30	40		10							planar	0.2013	200	upper	2	772	380	0.5078	0.9650	0.7926	1.7
intrasom	twodiamonds	50	60		10							planar	0.2013	200	upper	7	700	339	0.5157	0.8750	0.4688	9.9
intrasom	twodiamonds	40	50		10							planar	0.25	100	upper	1	761	378	0.5033	0.9513	0.6367	4.5
intrasom	twodiamonds	30	40		10							planar	0.25	100	upper	2	777	383	0.5071	0.9712	0.7942	1.6
intrasom	twodiamonds	50	60		10							planar	0.25	100	upper	5	720	349	0.5153	0.9000	0.4761	9.7
intrasom	twodiamonds	40	50		10							planar	0.25	200	upper	1	755	375	0.5033	0.9437	0.6344	4.5
intrasom	twodiamonds	30	40		10							planar	0.25	200	upper	2	772	380	0.5078	0.9650	0.7926	1.8
intrasom	twodiamonds	50	60		10							planar	0.25	200	upper	7	700	339	0.5157	0.8750	0.4688	10.4
intrasom	twodiamonds	40	50		30							toroid	0.15	100	upper	4	714	313	0.5616	0.8925	0.4924	1.2
intrasom	twodiamonds	30	40		30							toroid	0.15	100	upper	15	462	171	0.6299	0.5775	0.4252	0.6
intrasom	twodiamonds	50	60		30							toroid	0.15	100	upper	22	576	199	0.6545	0.7200	0.4778	2.3
intrasom	twodiamonds	40	50		30							toroid	0.15	200	upper	4	719	315	0.5619	0.8988	0.4944	1.4
intrasom	twodiamonds	30	40		30							toroid	0.15	200	upper	7	583	284	0.5129	0.7288	0.4238	0.8
intrasom	twodiamonds	50	60		30							toroid	0.15	200	upper	15	610	238	0.6098	0.7625	0.4727	2.5
intrasom	twodiamonds	40	50		30							toroid	0.2013	100	upper	4	714	313	0.5616	0.8925	0.4924	1.2
intrasom	twodiamonds	30	40		30							toroid	0.2013	100	upper	15	462	171	0.6299	0.5775	0.4252	0.6
intrasom	twodiamonds	50	60		30							toroid	0.2013	100	upper	22	576	199	0.6545	0.7200	0.4778	2.6
intrasom	twodiamonds	40	50		30							toroid	0.2013	200	upper	4	719	315	0.5619	0.8988	0.4944	1.4
intrasom	twodiamonds	30	40		30							toroid	0.2013	200	upper	7	583	284	0.5129	0.7288	0.4238	0.8
intrasom	twodiamonds	50	60		30							toroid	0.2013	200	upper	15	610	238	0.6098	0.7625	0.4727	2.7
intrasom	twodiamonds	40	50		30							toroid	0.25	100	upper	4	714	313	0.5616	0.8925	0.4924	1.3
intrasom	twodiamonds	30	40		30							toroid	0.25	100	upper	15	462	171	0.6299	0.5775	0.4252	0.6
intrasom	twodiamonds	50	60		30							toroid	0.25	100	upper	22	576	199	0.6545	0.7200	0.4778	2.5
intrasom	twodiamonds	40	50		30							toroid	0.25	200	upper	4	719	315	0.5619	0.8988	0.4944	1.5
intrasom	twodiamonds	30	40		30							toroid	0.25	200	upper	7	583	284	0.5129	0.7288	0.4238	0.8
intrasom	twodiamonds	50	60		30							toroid	0.25	200	upper	15	610	238	0.6098	0.7625	0.4727	2.7
intrasom	twodiamonds	40	50		30							planar	0.15	100	upper	2	744	370	0.5027	0.9300	0.7801	5.0
intrasom	twodiamonds	30	40		30							planar	0.15	100	upper	2	669	334	0.5007	0.8363	0.7512	2.0
intrasom	twodiamonds	50	60		30							planar	0.15	100	upper	1	758	375	0.5053	0.9475	0.6364	10.6
intrasom	twodiamonds	40	50		30							planar	0.15	200	upper	3	742	366	0.5067	0.9275	0.6309	5.0
intrasom	twodiamonds	30	40		30							planar	0.15	200	upper	1	685	339	0.5051	0.8562	0.6089	2.0
intrasom	twodiamonds	50	60		30							planar	0.15	200	upper	1	763	379	0.5033	0.9537	0.6374	10.8
intrasom	twodiamonds	40	50		30							planar	0.2013	100	upper	2	744	370	0.5027	0.9300	0.7801	4.8
intrasom	twodiamonds	30	40		30							planar	0.2013	100	upper	2	669	334	0.5007	0.8363	0.7512	2.0
intrasom	twodiamonds	50	60		30							planar	0.2013	100	upper	1	758	375	0.5053	0.9475	0.6364	10.9
intrasom	twodiamonds	40	50		30							planar	0.2013	200	upper	3	742	366	0.5067	0.9275	0.6309	5.0
intrasom	twodiamonds	30	40		30							planar	0.2013	200	upper	1	685	339	0.5051	0.8562	0.6089	2.1
intrasom	twodiamonds	50	60		30							planar	0.2013	200	upper	1	763	379	0.5033	0.9537	0.6374	10.7
intrasom	twodiamonds	40	50		30							planar	0.25	100	upper	2	744	370	0.5027	0.9300	0.7801	5.0
intrasom	twodiamonds	30	40		30							planar	0.25	100	upper	2	669	334	0.5007	0.8363	0.7512	2.1
intrasom	twodiamonds	50	60		30							planar	0.25	100	upper	1	758	375	0.5053	0.9475	0.6364	10.9
intrasom	twodiamonds	40	50		30							planar	0.25	200	upper	3	742	366	0.5067	0.9275	0.6309	4.9
intrasom	twodiamonds	30	40		30							planar	0.25	200	upper	1	685	339	0.5051	0.8562	0.6089	1.9
intrasom	twodiamonds	50	60		30							planar	0.25	200	upper	1	763	379	0.5033	0.9537	0.6374	10.8
intrasom	twodiamonds	40	50		80							toroid	0.15	100	upper	5	713	357	0.4993	0.8912	0.4671	2.3
intrasom	twodiamonds	30	40		80							toroid	0.15	100	upper	7	588	280	0.5238	0.7350	0.4300	1.2
intrasom	twodiamonds	50	60		80							toroid	0.15	100	upper	19	613	204	0.6672	0.7662	0.4968	4.9
intrasom	twodiamonds	40	50		80							toroid	0.15	200	upper	5	704	351	0.5014	0.8800	0.4646	2.6
intrasom	twodiamonds	30	40		80							toroid	0.15	200	upper	7	588	280	0.5238	0.7350	0.4300	1.2
intrasom	twodiamonds	50	60		80							toroid	0.15	200	upper	3	712	356	0.5000	0.8900	0.6170	4.7
intrasom	twodiamonds	40	50		80							toroid	0.2013	100	upper	5	713	357	0.4993	0.8912	0.4671	2.4
intrasom	twodiamonds	30	40		80							toroid	0.2013	100	upper	7	588	280	0.5238	0.7350	0.4300	1.2
intrasom	twodiamonds	50	60		80							toroid	0.2013	100	upper	19	613	204	0.6672	0.7662	0.4968	4.8
