backend	dataset	grid_rows	grid_cols	iterations	epochs	sigma	learning_rate	neighborhood_function	batch_size	train_len_factor	initialization	mapshape	pareto_fraction	n_threshold_steps	threshold_anchor	n_clusters	n_assigned	n_wrong	purity	coverage	paper_score	elapsed_s
intrasom	wingnut	50	82		10							toroid	0.15	100	upper	5	918	459	0.5000	0.9035	0.4711	2.7
intrasom	wingnut	40	60		10							toroid	0.15	100	upper	29	698	386	0.4470	0.6870	0.3849	1.0
intrasom	wingnut	60	100		10							toroid	0.15	100	upper	1	948	474	0.5000	0.9331	0.6299	5.1
intrasom	wingnut	50	82		10							toroid	0.15	200	upper	5	906	453	0.5000	0.8917	0.4675	3.0
intrasom	wingnut	40	60		10							toroid	0.15	200	upper	25	662	362	0.4532	0.6516	0.3767	1.2
intrasom	wingnut	60	100		10							toroid	0.15	200	upper	1	948	474	0.5000	0.9331	0.6299	5.5
intrasom	wingnut	50	82		10							toroid	0.2013	100	upper	5	918	459	0.5000	0.9035	0.4711	2.8
intrasom	wingnut	40	60		10							toroid	0.2013	100	upper	29	698	386	0.4470	0.6870	0.3849	1.2
intrasom	wingnut	60	100		10							toroid	0.2013	100	upper	1	948	474	0.5000	0.9331	0.6299	5.2
intrasom	wingnut	50	82		10							toroid	0.2013	200	upper	5	906	453	0.5000	0.8917	0.4675	3.0
intrasom	wingnut	40	60		10							toroid	0.2013	200	upper	25	662	362	0.4532	0.6516	0.3767	1.2
intrasom	wingnut	60	100		10							toroid	0.2013	200	upper	1	948	474	0.5000	0.9331	0.6299	5.4
intrasom	wingnut	50	82		10							toroid	0.25	100	upper	5	918	459	0.5000	0.9035	0.4711	2.7
intrasom	wingnut	40	60		10							toroid	0.25	100	upper	29	698	386	0.4470	0.6870	0.3849	1.1
intrasom	wingnut	60	100		10							toroid	0.25	100	upper	1	948	474	0.5000	0.9331	0.6299	5.3
intrasom	wingnut	50	82		10							toroid	0.25	200	upper	5	906	453	0.5000	0.8917	0.4675	3.2
intrasom	wingnut	40	60		10							toroid	0.25	200	upper	25	662	362	0.4532	0.6516	0.3767	1.2
intrasom	wingnut	60	100		10							toroid	0.25	200	upper	1	948	474	0.5000	0.9331	0.6299	5.3
intrasom	wingnut	50	82		10							planar	0.15	100	upper	3	900	450	0.5000	0.8858	0.6157	17.8
intrasom	wingnut	40	60		10							planar	0.15	100	upper	13	832	423	0.4916	0.8189	0.4423	6.4
intrasom	wingnut	60	100		10							planar	0.15	100	upper	1	1012	506	0.5000	0.9961	0.6488	38.1
intrasom	wingnut	50	82		10							planar	0.15	200	upper	5	892	446	0.5000	0.8780	0.4634	17.8
intrasom	wingnut	40	60		10							planar	0.15	200	upper	9	842	425	0.4952	0.8287	0.4467	6.2
intrasom	wingnut	60	100		10							planar	0.15	200	upper	1	1010	505	0.5000	0.9941	0.6482	37.2
intrasom	wingnut	50	82		10							planar	0.2013	100	upper	3	900	450	0.5000	0.8858	0.6157	17.8
intrasom	wingnut	40	60		10							planar	0.2013	100	upper	13	832	423	0.4916	0.8189	0.4423	6.2
intrasom	wingnut	60	100		10							planar	0.2013	100	upper	1	1012	506	0.5000	0.9961	0.6488	37.2
intrasom	wingnut	50	82		10							planar	0.2013	200	upper	5	892	446	0.5000	0.8780	0.4634	17.8
intrasom	wingnut	40	60		10							planar	0.2013	200	upper	9	842	425	0.4952	0.8287	0.4467	6.2
intrasom	wingnut	60	100		10							planar	0.2013	200	upper	1	1010	505	0.5000	0.9941	0.6482	37.3
intrasom	wingnut	50	82		10							planar	0.25	100	upper	3	900	450	0.5000	0.8858	0.6157	17.5
intrasom	wingnut	40	60		10							planar	0.25	100	upper	13	832	423	0.4916	0.8189	0.4423	6.1
intrasom	wingnut	60	100		10							planar	0.25	100	upper	1	1012	506	0.5000	0.9961	0.6488	36.9
intrasom	wingnut	50	82		10							planar	0.25	200	upper	5	892	446	0.5000	0.8780	0.4634	17.7
intrasom	wingnut	40	60		10							planar	0.25	200	upper	9	842	425	0.4952	0.8287	0.4467	6.1
intrasom	wingnut	60	100		10							planar	0.25	200	upper	1	1010	505	0.5000	0.9941	0.6482	37.0
intrasom	wingnut	50	82		30							toroid	0.15	100	upper	11	858	434	0.4942	0.8445	0.4510	4.3
intrasom	wingnut	40	60		30							toroid	0.15	100	upper	27	578	299	0.4827	0.5689	0.3637	1.7
intrasom	wingnut	60	100		30							toroid	0.15	100	upper	3	956	478	0.5000	0.9409	0.6323	7.7
intrasom	wingnut	50	82		30							toroid	0.15	200	upper	13	856	434	0.4930	0.8425	0.4500	4.4
intrasom	wingnut	40	60		30							toroid	0.15	200	upper	27	574	297	0.4826	0.5650	0.3625	1.8
intrasom	wingnut	60	100		30							toroid	0.15	200	upper	3	954	477	0.5000	0.9390	0.6317	8.2
intrasom	wingnut	50	82		30							toroid	0.2013	100	upper	11	858	434	0.4942	0.8445	0.4510	4.2
intrasom	wingnut	40	60		30							toroid	0.2013	100	upper	27	578	299	0.4827	0.5689	0.3637	1.6
intrasom	wingnut	60	100		30							toroid	0.2013	100	upper	3	956	478	0.5000	0.9409	0.6323	7.7
intrasom	wingnut	50	82		30							toroid	0.2013	200	upper	13	856	434	0.4930	0.8425	0.4500	4.4
intrasom	wingnut	40	60		30							toroid	0.2013	200	upper	27	574	297	0.4826	0.5650	0.3625	1.8
intrasom	wingnut	60	100		30							toroid	0.2013	200	upper	3	954	477	0.5000	0.9390	0.6317	8.3
intrasom	wingnut	50	82		30							toroid	0.25	100	upper	11	858	434	0.4942	0.8445	0.4510	4.3
intrasom	wingnut	40	60		30							toroid	0.25	100	upper	27	578	299	0.4827	0.5689	0.3637	1.7
intrasom	wingnut	60	100		30							toroid	0.25	100	upper	3	956	478	0.5000	0.9409	0.6323	7.8
intrasom	wingnut	50	82		30							toroid	0.25	200	upper	13	856	434	0.4930	0.8425	0.4500	4.4
intrasom	wingnut	40	60		30							toroid	0.25	200	upper	27	574	297	0.4826	0.5650	0.3625	1.7
intrasom	wingnut	60	100		30							toroid	0.25	200	upper	3	954	477	0.5000	0.9390	0.6317	8.4
intrasom	wingnut	50	82		30							planar	0.15	100	upper	41	812	437	0.4618	0.7992	0.4245	19.0
intrasom	wingnut	40	60		30							planar	0.15	100	upper	15	794	406	0.4887	0.7815	0.4299	6.6
intrasom	wingnut	60	100		30							planar	0.15	100	upper	29	976	503	0.4846	0.9606	0.4820	39.8
intrasom	wingnut	50	82		30							planar	0.15	200	upper	45	798	435	0.4549	0.7854	0.4176	19.3
intrasom	wingnut	40	60		30							planar	0.15	200	upper	17	786	405	0.4847	0.7736	0.4260	6.8
intrasom	wingnut	60	100		30							planar	0.15	200	upper	25	982	502	0.4888	0.9665	0.4855	40.2
intrasom	wingnut	50	82		30							planar	0.2013	100	upper	41	812	437	0.4618	0.7992	0.4245	19.1
intrasom	wingnut	40	60		30							planar	0.2013	100	upper	15	794	406	0.4887	0.7815	0.4299	6.7
intrasom	wingnut	60	100		30							planar	0.2013	100	upper	29	976	503	0.4846	0.9606	0.4820	39.7
intrasom	wingnut	50	82		30							planar	0.2013	200	upper	45	798	435	0.4549	0.7854	0.4176	19.5
intrasom	wingnut	40	60		30							planar	0.2013	200	upper	17	786	405	0.4847	0.7736	0.4260	6.8
intrasom	wingnut	60	100		30							planar	0.2013	200	upper	25	982	502	0.4888	0.9665	0.4855	40.0
intrasom	wingnut	50	82		30							planar	0.25	100	upper	41	812	437	0.4618	0.7992	0.4245	19.2
intrasom	wingnut	40	60		30							planar	0.25	100	upper	15	794	406	0.4887	0.7815	0.4299	6.7
