backend	dataset	grid_rows	grid_cols	iterations	epochs	sigma	learning_rate	neighborhood_function	batch_size	train_len_factor	initialization	mapshape	pareto_fraction	n_threshold_steps	threshold_anchor	n_clusters	n_assigned	n_wrong	purity	coverage	paper_score	elapsed_s
minisom	atom	50	82	50000			0.3	gaussian					0.15	100	upper	1	710	320	0.5493	0.8875	0.6360	8.1
minisom	atom	50	82	50000			0.3	gaussian					0.15	100	upper	1	710	320	0.5493	0.8875	0.6360	7.7
minisom	atom	50	82	50000			0.3	gaussian					0.15	200	upper	1	707	318	0.5502	0.8838	0.6352	7.7
minisom	atom	50	82	50000			0.3	gaussian					0.2013	100	upper	1	710	320	0.5493	0.8875	0.6360	7.5
minisom	atom	50	82	50000			0.3	gaussian					0.2013	200	upper	1	707	318	0.5502	0.8838	0.6352	7.7
minisom	atom	50	82	50000			0.3	gaussian					0.25	100	upper	1	710	320	0.5493	0.8875	0.6360	7.7
minisom	atom	50	82	50000			0.3	gaussian					0.25	200	upper	1	707	318	0.5502	0.8838	0.6352	8.1
minisom	atom	50	82	50000			0.5	gaussian					0.15	100	upper	1	736	346	0.5299	0.9200	0.6380	7.8
minisom	atom	50	82	50000			0.5	gaussian					0.15	200	upper	1	736	346	0.5299	0.9200	0.6380	8.3
minisom	atom	50	82	50000			0.5	gaussian					0.2013	100	upper	1	736	346	0.5299	0.9200	0.6380	7.8
minisom	atom	50	82	50000			0.5	gaussian					0.2013	200	upper	1	736	346	0.5299	0.9200	0.6380	8.0
minisom	atom	50	82	50000			0.5	gaussian					0.25	100	upper	1	736	346	0.5299	0.9200	0.6380	7.9
minisom	atom	50	82	50000			0.5	gaussian					0.25	200	upper	1	736	346	0.5299	0.9200	0.6380	8.3
minisom	atom	50	82	50000			0.7	gaussian					0.15	100	upper	3	711	276	0.6118	0.8888	0.6614	8.3
minisom	atom	50	82	50000			0.7	gaussian					0.15	200	upper	3	703	275	0.6088	0.8788	0.6572	8.2
minisom	atom	50	82	50000			0.7	gaussian					0.2013	100	upper	3	711	276	0.6118	0.8888	0.6614	7.9
minisom	atom	50	82	50000			0.7	gaussian					0.2013	200	upper	3	703	275	0.6088	0.8788	0.6572	8.3
minisom	atom	50	82	50000			0.7	gaussian					0.25	100	upper	3	711	276	0.6118	0.8888	0.6614	7.9
minisom	atom	50	82	50000			0.7	gaussian					0.25	200	upper	3	703	275	0.6088	0.8788	0.6572	7.9
minisom	atom	50	82	50000		15	0.3	gaussian					0.15	100	upper	1	717	317	0.5579	0.8962	0.6420	8.0
minisom	atom	50	82	50000		15	0.3	gaussian					0.15	200	upper	1	716	316	0.5587	0.8950	0.6420	8.2
minisom	atom	50	82	50000		15	0.3	gaussian					0.2013	100	upper	1	717	317	0.5579	0.8962	0.6420	8.3
minisom	atom	50	82	50000		15	0.3	gaussian					0.2013	200	upper	1	716	316	0.5587	0.8950	0.6420	8.0
minisom	atom	50	82	50000		15	0.3	gaussian					0.25	100	upper	1	717	317	0.5579	0.8962	0.6420	7.8
minisom	atom	50	82	50000		15	0.3	gaussian					0.25	200	upper	1	716	316	0.5587	0.8950	0.6420	8.0
minisom	atom	50	82	50000		15	0.5	gaussian					0.15	100	upper	1	662	263	0.6027	0.8275	0.6393	7.9
minisom	atom	50	82	50000		15	0.5	gaussian					0.15	200	upper	1	662	263	0.6027	0.8275	0.6393	8.1
minisom	atom	50	82	50000		15	0.5	gaussian					0.2013	100	upper	1	662	263	0.6027	0.8275	0.6393	7.9
minisom	atom	50	82	50000		15	0.5	gaussian					0.2013	200	upper	1	662	263	0.6027	0.8275	0.6393	8.0
minisom	atom	50	82	50000		15	0.5	gaussian					0.25	100	upper	1	662	263	0.6027	0.8275	0.6393	7.7
minisom	atom	50	82	50000		15	0.5	gaussian					0.25	200	upper	1	662	263	0.6027	0.8275	0.6393	8.0
minisom	atom	50	82	50000		15	0.7	gaussian					0.15	100	upper	2	686	285	0.5845	0.8575	0.7911	7.7
minisom	atom	50	82	50000		15	0.7	gaussian					0.15	200	upper	2	683	282	0.5871	0.8538	0.7910	8.1
minisom	atom	50	82	50000		15	0.7	gaussian					0.2013	100	upper	2	686	285	0.5845	0.8575	0.7911	7.7
minisom	atom	50	82	50000		15	0.7	gaussian					0.2013	200	upper	2	683	282	0.5871	0.8538	0.7910	7.9
minisom	atom	50	82	50000		15	0.7	gaussian					0.25	100	upper	2	686	285	0.5845	0.8575	0.7911	7.8
minisom	atom	50	82	50000		15	0.7	gaussian					0.25	200	upper	2	683	282	0.5871	0.8538	0.7910	7.9
minisom	atom	50	82	50000		25	0.3	gaussian					0.15	100	upper	1	129	0	1.0000	0.1613	0.5984	7.7
minisom	atom	50	82	50000		25	0.3	gaussian					0.15	200	upper	1	112	0	1.0000	0.1400	0.5920	7.9
minisom	atom	50	82	50000		25	0.3	gaussian					0.2013	100	upper	1	129	0	1.0000	0.1613	0.5984	7.7
minisom	atom	50	82	50000		25	0.3	gaussian					0.2013	200	upper	1	112	0	1.0000	0.1400	0.5920	8.0
minisom	atom	50	82	50000		25	0.3	gaussian					0.25	100	upper	1	129	0	1.0000	0.1613	0.5984	7.7
minisom	atom	50	82	50000		25	0.3	gaussian					0.25	200	upper	1	112	0	1.0000	0.1400	0.5920	7.9
minisom	atom	50	82	50000		25	0.5	gaussian					0.15	100	upper	1	105	0	1.0000	0.1313	0.5894	7.7
minisom	atom	50	82	50000		25	0.5	gaussian					0.15	200	upper	1	105	0	1.0000	0.1313	0.5894	7.9
minisom	atom	50	82	50000		25	0.5	gaussian					0.2013	100	upper	1	105	0	1.0000	0.1313	0.5894	7.7
minisom	atom	50	82	50000		25	0.5	gaussian					0.2013	200	upper	1	105	0	1.0000	0.1313	0.5894	7.9
minisom	atom	50	82	50000		25	0.5	gaussian					0.25	100	upper	1	105	0	1.0000	0.1313	0.5894	7.7
minisom	atom	50	82	50000		25	0.5	gaussian					0.25	200	upper	1	105	0	1.0000	0.1313	0.5894	7.9
minisom	atom	50	82	50000		25	0.7	gaussian					0.15	100	upper	1	727	328	0.5488	0.9087	0.6422	7.7
minisom	atom	50	82	50000		25	0.7	gaussian					0.15	200	upper	1	726	327	0.5496	0.9075	0.6421	7.9
minisom	atom	50	82	50000		25	0.7	gaussian					0.2013	100	upper	1	727	328	0.5488	0.9087	0.6422	7.7
minisom	atom	50	82	50000		25	0.7	gaussian					0.2013	200	upper	1	726	327	0.5496	0.9075	0.6421	7.8
minisom	atom	50	82	50000		25	0.7	gaussian					0.25	100	upper	1	727	328	0.5488	0.9087	0.6422	7.7
minisom	atom	50	82	50000		25	0.7	gaussian					0.25	200	upper	1	726	327	0.5496	0.9075	0.6421	7.9
minisom	atom	50	82	150000			0.3	gaussian					0.15	100	upper	1	760	362	0.5237	0.9500	0.6445	22.5
minisom	atom	50	82	150000			0.3	gaussian					0.15	200	upper	1	757	359	0.5258	0.9463	0.6442	22.6
minisom	atom	50	82	150000			0.3	gaussian					0.2013	100	upper	1	760	362	0.5237	0.9500	0.6445	22.5
minisom	atom	50	82	150000			0.3	gaussian					0.2013	200	upper	1	757	359	0.5258	0.9463	0.6442	22.7
minisom	atom	50	82	150000			0.3	gaussian					0.25	100	upper	1	760	362	0.5237	0.9500	0.6445	22.5
minisom	atom	50	82	150000			0.3	gaussian					0.25	200	upper	1	757	359	0.5258	0.9463	0.6442	22.7
minisom	atom	50	82	150000			0.5	gaussian					0.15	100	upper	1	769	370	0.5189	0.9613	0.6459	22.6
minisom	atom	50	82	150000			0.5	gaussian					0.15	200	upper	1	769	370	0.5189	0.9613	0.6459	22.5
minisom	atom	50	82	150000			0.5	gaussian					0.2013	100	upper	1	769	370	0.5189	0.9613	0.6459	22.4
minisom	atom	50	82	150000			0.5	gaussian					0.2013	200	upper	1	769	370	0.5189	0.9613	0.6459	22.6
minisom	atom	50	82	150000			0.5	gaussian					0.25	100	upper	1	769	370	0.5189	0.9613	0.6459	22.4
minisom	atom	50	82	150000			0.5	gaussian					0.25	200	upper	1	769	370	0.5189	0.9613	0.6459	23.3
minisom	atom	50	82	150000			0.7	gaussian					0.15	100	upper	1	753	354	0.5299	0.9413	0.6443	23.5
minisom	atom	50	82	150000			0.7	gaussian					0.15	200	upper	1	753	354	0.5299	0.9413	0.6443	23.6
minisom	atom	50	82	150000			0.7	gaussian					0.2013	100	upper	1	753	354	0.5299	0.9413	0.6443	23.7
minisom	atom	50	82	150000			0.7	gaussian					0.2013	200	upper	1	753	354	0.5299	0.9413	0.6443	23.7
minisom	atom	50	82	150000			0.7	gaussian					0.25	100	upper	1	753	354	0.5299	0.9413	0.6443	23.6
minisom	atom	50	82	150000			0.7	gaussian					0.25	200	upper	1	753	354	0.5299	0.9413	0.6443	23.8
minisom	atom	50	82	150000		15	0.3	gaussian					0.15	100	upper	1	693	294	0.5758	0.8662	0.6402	23.6
minisom	atom	50	82	150000		15	0.3	gaussian					0.15	200	upper	1	695	296	0.5741	0.8688	0.6403	23.7
minisom	atom	50	82	150000		15	0.3	gaussian					0.2013	100	upper	1	693	294	0.5758	0.8662	0.6402	23.5
minisom	atom	50	82	150000		15	0.3	gaussian					0.2013	200	upper	1	695	296	0.5741	0.8688	0.6403	23.9
minisom	atom	50	82	150000		15	0.3	gaussian					0.25	100	upper	1	693	294	0.5758	0.8662	0.6402	23.8
minisom	atom	50	82	150000		15	0.3	gaussian					0.25	200	upper	1	695	296	0.5741	0.8688	0.6403	23.8
minisom	atom	50	82	150000		15	0.5	gaussian					0.15	100	upper	2	658	255	0.6125	0.8225	0.7917	23.5
minisom	atom	50	82	150000		15	0.5	gaussian					0.15	200	upper	2	657	254	0.6134	0.8213	0.7917	23.9
minisom	atom	50	82	150000		15	0.5	gaussian					0.2013	100	upper	2	658	255	0.6125	0.8225	0.7917	23.8
minisom	atom	50	82	150000		15	0.5	gaussian					0.2013	200	upper	2	657	254	0.6134	0.8213	0.7917	24.0
minisom	atom	50	82	150000		15	0.5	gaussian					0.25	100	upper	2	658	255	0.6125	0.8225	0.7917	23.5
minisom	atom	50	82	150000		15	0.5	gaussian					0.25	200	upper	2	657	254	0.6134	0.8213	0.7917	23.8
minisom	atom	50	82	150000		15	0.7	gaussian					0.15	100	upper	2	633	229	0.6382	0.7913	0.7927	23.6
minisom	atom	50	82	150000		15	0.7	gaussian					0.15	200	upper	2	632	228	0.6392	0.7900	0.7927	23.7
minisom	atom	50	82	150000		15	0.7	gaussian					0.2013	100	upper	2	633	229	0.6382	0.7913	0.7927	23.7
minisom	atom	50	82	150000		15	0.7	gaussian					0.2013	200	upper	2	632	228	0.6392	0.7900	0.7927	24.0
minisom	atom	50	82	150000		15	0.7	gaussian					0.25	100	upper	2	633	229	0.6382	0.7913	0.7927	23.4
minisom	atom	50	82	150000		15	0.7	gaussian					0.25	200	upper	2	632	228	0.6392	0.7900	0.7927	23.8
minisom	atom	50	82	150000		25	0.3	gaussian					0.15	100	upper	1	719	319	0.5563	0.8988	0.6422	23.6
