backend	dataset	grid_rows	grid_cols	iterations	epochs	sigma	learning_rate	neighborhood_function	batch_size	train_len_factor	initialization	mapshape	pareto_fraction	n_threshold_steps	threshold_anchor	n_clusters	n_assigned	n_wrong	purity	coverage	paper_score	elapsed_s
minisom	chainlink	50	82	50000			0.3	gaussian					0.15	100	upper	1	860	414	0.5186	0.8600	0.5654	8.0
minisom	chainlink	40	60	50000			0.3	gaussian					0.15	100	upper	1	918	418	0.5447	0.9180	0.5933	4.8
minisom	chainlink	60	100	50000			0.3	gaussian					0.15	100	upper	2	827	383	0.5369	0.8270	0.6629	11.1
minisom	chainlink	50	82	50000			0.3	gaussian					0.15	200	upper	1	860	414	0.5186	0.8600	0.5654	8.1
minisom	chainlink	40	60	50000			0.3	gaussian					0.15	200	upper	1	914	414	0.5470	0.9140	0.5930	4.9
minisom	chainlink	60	100	50000			0.3	gaussian					0.15	200	upper	2	829	383	0.5380	0.8290	0.6639	11.2
minisom	chainlink	50	82	50000			0.3	gaussian					0.2013	100	upper	1	860	414	0.5186	0.8600	0.5654	7.9
minisom	chainlink	40	60	50000			0.3	gaussian					0.2013	100	upper	1	918	418	0.5447	0.9180	0.5933	4.8
minisom	chainlink	60	100	50000			0.3	gaussian					0.2013	100	upper	2	827	383	0.5369	0.8270	0.6629	11.1
minisom	chainlink	50	82	50000			0.3	gaussian					0.2013	200	upper	1	860	414	0.5186	0.8600	0.5654	8.1
minisom	chainlink	40	60	50000			0.3	gaussian					0.2013	200	upper	1	914	414	0.5470	0.9140	0.5930	5.0
minisom	chainlink	60	100	50000			0.3	gaussian					0.2013	200	upper	2	829	383	0.5380	0.8290	0.6639	11.2
minisom	chainlink	50	82	50000			0.3	gaussian					0.25	100	upper	1	860	414	0.5186	0.8600	0.5654	7.8
minisom	chainlink	40	60	50000			0.3	gaussian					0.25	100	upper	1	918	418	0.5447	0.9180	0.5933	4.7
minisom	chainlink	60	100	50000			0.3	gaussian					0.25	100	upper	2	827	383	0.5369	0.8270	0.6629	10.9
minisom	chainlink	50	82	50000			0.3	gaussian					0.25	200	upper	1	860	414	0.5186	0.8600	0.5654	8.0
minisom	chainlink	40	60	50000			0.3	gaussian					0.25	200	upper	1	914	414	0.5470	0.9140	0.5930	4.9
minisom	chainlink	60	100	50000			0.3	gaussian					0.25	200	upper	2	829	383	0.5380	0.8290	0.6639	11.2
minisom	chainlink	50	82	50000			0.5	gaussian					0.15	100	upper	1	857	420	0.5099	0.8570	0.5611	8.0
minisom	chainlink	40	60	50000			0.5	gaussian					0.15	100	upper	1	855	406	0.5251	0.8550	0.5666	4.8
minisom	chainlink	60	100	50000			0.5	gaussian					0.15	100	upper	1	858	427	0.5023	0.8580	0.5583	10.9
minisom	chainlink	50	82	50000			0.5	gaussian					0.15	200	upper	1	854	417	0.5117	0.8540	0.5609	8.1
minisom	chainlink	40	60	50000			0.5	gaussian					0.15	200	upper	1	853	406	0.5240	0.8530	0.5655	4.9
minisom	chainlink	60	100	50000			0.5	gaussian					0.15	200	upper	1	855	424	0.5041	0.8550	0.5581	11.0
minisom	chainlink	50	82	50000			0.5	gaussian					0.2013	100	upper	1	857	420	0.5099	0.8570	0.5611	7.9
minisom	chainlink	40	60	50000			0.5	gaussian					0.2013	100	upper	1	855	406	0.5251	0.8550	0.5666	4.8
minisom	chainlink	60	100	50000			0.5	gaussian					0.2013	100	upper	1	858	427	0.5023	0.8580	0.5583	11.0
minisom	chainlink	50	82	50000			0.5	gaussian					0.2013	200	upper	1	854	417	0.5117	0.8540	0.5609	8.0
minisom	chainlink	40	60	50000			0.5	gaussian					0.2013	200	upper	1	853	406	0.5240	0.8530	0.5655	4.9
minisom	chainlink	60	100	50000			0.5	gaussian					0.2013	200	upper	1	855	424	0.5041	0.8550	0.5581	11.2
minisom	chainlink	50	82	50000			0.5	gaussian					0.25	100	upper	1	857	420	0.5099	0.8570	0.5611	7.9
minisom	chainlink	40	60	50000			0.5	gaussian					0.25	100	upper	1	855	406	0.5251	0.8550	0.5666	4.8
minisom	chainlink	60	100	50000			0.5	gaussian					0.25	100	upper	1	858	427	0.5023	0.8580	0.5583	11.0
minisom	chainlink	50	82	50000			0.5	gaussian					0.25	200	upper	1	854	417	0.5117	0.8540	0.5609	8.1
minisom	chainlink	40	60	50000			0.5	gaussian					0.25	200	upper	1	853	406	0.5240	0.8530	0.5655	4.8
minisom	chainlink	60	100	50000			0.5	gaussian					0.25	200	upper	1	855	424	0.5041	0.8550	0.5581	11.2
minisom	chainlink	50	82	50000			0.7	gaussian					0.15	100	upper	1	855	399	0.5333	0.8550	0.5698	8.0
minisom	chainlink	40	60	50000			0.7	gaussian					0.15	100	upper	2	809	186	0.7701	0.8090	0.7507	4.8
minisom	chainlink	60	100	50000			0.7	gaussian					0.15	100	upper	1	853	415	0.5135	0.8530	0.5613	10.9
minisom	chainlink	50	82	50000			0.7	gaussian					0.15	200	upper	1	855	399	0.5333	0.8550	0.5698	8.1
minisom	chainlink	40	60	50000			0.7	gaussian					0.15	200	upper	2	809	186	0.7701	0.8090	0.7507	4.8
minisom	chainlink	60	100	50000			0.7	gaussian					0.15	200	upper	1	847	415	0.5100	0.8470	0.5581	11.3
minisom	chainlink	50	82	50000			0.7	gaussian					0.2013	100	upper	1	855	399	0.5333	0.8550	0.5698	8.0
minisom	chainlink	40	60	50000			0.7	gaussian					0.2013	100	upper	2	809	186	0.7701	0.8090	0.7507	4.8
minisom	chainlink	60	100	50000			0.7	gaussian					0.2013	100	upper	1	853	415	0.5135	0.8530	0.5613	11.0
minisom	chainlink	50	82	50000			0.7	gaussian					0.2013	200	upper	1	855	399	0.5333	0.8550	0.5698	8.1
minisom	chainlink	40	60	50000			0.7	gaussian					0.2013	200	upper	2	809	186	0.7701	0.8090	0.7507	4.8
minisom	chainlink	60	100	50000			0.7	gaussian					0.2013	200	upper	1	847	415	0.5100	0.8470	0.5581	11.2
minisom	chainlink	50	82	50000			0.7	gaussian					0.25	100	upper	1	855	399	0.5333	0.8550	0.5698	8.1
minisom	chainlink	40	60	50000			0.7	gaussian					0.25	100	upper	2	809	186	0.7701	0.8090	0.7507	4.8
minisom	chainlink	60	100	50000			0.7	gaussian					0.25	100	upper	1	853	415	0.5135	0.8530	0.5613	10.8
minisom	chainlink	50	82	50000			0.7	gaussian					0.25	200	upper	1	855	399	0.5333	0.8550	0.5698	8.1
minisom	chainlink	40	60	50000			0.7	gaussian					0.25	200	upper	2	809	186	0.7701	0.8090	0.7507	4.9
minisom	chainlink	60	100	50000			0.7	gaussian					0.25	200	upper	1	847	415	0.5100	0.8470	0.5581	11.1
minisom	chainlink	50	82	50000		15	0.3	gaussian					0.15	100	upper	2	997	466	0.5326	0.9970	0.7121	8.0
minisom	chainlink	40	60	50000		15	0.3	gaussian					0.15	100	upper	1	996	498	0.5000	0.9960	0.5988	4.8
minisom	chainlink	60	100	50000		15	0.3	gaussian					0.15	100	upper	2	996	279	0.7199	0.9960	0.7868	11.0
minisom	chainlink	50	82	50000		15	0.3	gaussian					0.15	200	upper	2	993	466	0.5307	0.9930	0.7102	8.2
minisom	chainlink	40	60	50000		15	0.3	gaussian					0.15	200	upper	1	996	498	0.5000	0.9960	0.5988	4.9
minisom	chainlink	60	100	50000		15	0.3	gaussian					0.15	200	upper	2	996	279	0.7199	0.9960	0.7868	11.6
minisom	chainlink	50	82	50000		15	0.3	gaussian					0.2013	100	upper	2	997	466	0.5326	0.9970	0.7121	8.0
minisom	chainlink	40	60	50000		15	0.3	gaussian					0.2013	100	upper	1	996	498	0.5000	0.9960	0.5988	4.9
minisom	chainlink	60	100	50000		15	0.3	gaussian					0.2013	100	upper	2	996	279	0.7199	0.9960	0.7868	11.2
minisom	chainlink	50	82	50000		15	0.3	gaussian					0.2013	200	upper	2	993	466	0.5307	0.9930	0.7102	8.1
minisom	chainlink	40	60	50000		15	0.3	gaussian					0.2013	200	upper	1	996	498	0.5000	0.9960	0.5988	4.9
minisom	chainlink	60	100	50000		15	0.3	gaussian					0.2013	200	upper	2	996	279	0.7199	0.9960	0.7868	11.7
minisom	chainlink	50	82	50000		15	0.3	gaussian					0.25	100	upper	2	997	466	0.5326	0.9970	0.7121	8.1
minisom	chainlink	40	60	50000		15	0.3	gaussian					0.25	100	upper	1	996	498	0.5000	0.9960	0.5988	4.8
