backend	dataset	grid_rows	grid_cols	iterations	epochs	sigma	learning_rate	neighborhood_function	batch_size	train_len_factor	initialization	mapshape	pareto_fraction	n_threshold_steps	threshold_anchor	n_clusters	n_assigned	n_wrong	purity	coverage	paper_score	elapsed_s
minisom	chainlink_u	50	82	50000			0.3	gaussian					0.15	100	upper	1	860	414	0.5186	0.8600	0.6154	7.7
minisom	chainlink_u	50	82	50000			0.3	gaussian					0.15	200	upper	1	860	414	0.5186	0.8600	0.6154	7.8
minisom	chainlink_u	50	82	50000			0.3	gaussian					0.2013	100	upper	1	860	414	0.5186	0.8600	0.6154	7.7
minisom	chainlink_u	50	82	50000			0.3	gaussian					0.2013	200	upper	1	860	414	0.5186	0.8600	0.6154	7.8
minisom	chainlink_u	50	82	50000			0.3	gaussian					0.25	100	upper	1	860	414	0.5186	0.8600	0.6154	7.7
minisom	chainlink_u	50	82	50000			0.3	gaussian					0.25	200	upper	1	860	414	0.5186	0.8600	0.6154	7.8
minisom	chainlink_u	50	82	50000			0.5	gaussian					0.15	100	upper	1	857	420	0.5099	0.8570	0.6111	7.7
minisom	chainlink_u	50	82	50000			0.5	gaussian					0.15	200	upper	1	854	417	0.5117	0.8540	0.6109	7.8
minisom	chainlink_u	50	82	50000			0.5	gaussian					0.2013	100	upper	1	857	420	0.5099	0.8570	0.6111	7.7
minisom	chainlink_u	50	82	50000			0.5	gaussian					0.2013	200	upper	1	854	417	0.5117	0.8540	0.6109	7.8
minisom	chainlink_u	50	82	50000			0.5	gaussian					0.25	100	upper	1	857	420	0.5099	0.8570	0.6111	7.7
minisom	chainlink_u	50	82	50000			0.5	gaussian					0.25	200	upper	1	854	417	0.5117	0.8540	0.6109	7.9
minisom	chainlink_u	50	82	50000			0.7	gaussian					0.15	100	upper	1	855	399	0.5333	0.8550	0.6198	7.7
minisom	chainlink_u	50	82	50000			0.7	gaussian					0.15	200	upper	1	855	399	0.5333	0.8550	0.6198	7.9
minisom	chainlink_u	50	82	50000			0.7	gaussian					0.2013	100	upper	1	855	399	0.5333	0.8550	0.6198	7.7
minisom	chainlink_u	50	82	50000			0.7	gaussian					0.2013	200	upper	1	855	399	0.5333	0.8550	0.6198	7.9
minisom	chainlink_u	50	82	50000			0.7	gaussian					0.25	100	upper	1	855	399	0.5333	0.8550	0.6198	7.8
minisom	chainlink_u	50	82	50000			0.7	gaussian					0.25	200	upper	1	855	399	0.5333	0.8550	0.6198	7.9
minisom	chainlink_u	50	82	50000		15	0.3	gaussian					0.15	100	upper	2	997	466	0.5326	0.9970	0.8121	7.8
minisom	chainlink_u	50	82	50000		15	0.3	gaussian					0.15	200	upper	2	993	466	0.5307	0.9930	0.8102	8.0
minisom	chainlink_u	50	82	50000		15	0.3	gaussian					0.2013	100	upper	2	997	466	0.5326	0.9970	0.8121	7.8
minisom	chainlink_u	50	82	50000		15	0.3	gaussian					0.2013	200	upper	2	993	466	0.5307	0.9930	0.8102	8.0
minisom	chainlink_u	50	82	50000		15	0.3	gaussian					0.25	100	upper	2	997	466	0.5326	0.9970	0.8121	7.8
minisom	chainlink_u	50	82	50000		15	0.3	gaussian					0.25	200	upper	2	993	466	0.5307	0.9930	0.8102	8.0
minisom	chainlink_u	50	82	50000		15	0.5	gaussian					0.15	100	upper	2	991	466	0.5298	0.9910	0.8092	7.8
minisom	chainlink_u	50	82	50000		15	0.5	gaussian					0.15	200	upper	2	991	466	0.5298	0.9910	0.8092	8.0
minisom	chainlink_u	50	82	50000		15	0.5	gaussian					0.2013	100	upper	2	991	466	0.5298	0.9910	0.8092	7.8
minisom	chainlink_u	50	82	50000		15	0.5	gaussian					0.2013	200	upper	2	991	466	0.5298	0.9910	0.8092	8.0
minisom	chainlink_u	50	82	50000		15	0.5	gaussian					0.25	100	upper	2	991	466	0.5298	0.9910	0.8092	7.8
