backend	dataset	grid_rows	grid_cols	iterations	epochs	sigma	learning_rate	neighborhood_function	batch_size	train_len_factor	initialization	mapshape	pareto_fraction	n_threshold_steps	threshold_anchor	n_clusters	n_assigned	n_wrong	purity	coverage	paper_score	elapsed_s
minisom	lsun	50	82	50000			0.3	gaussian					0.15	100	upper	2	271	64	0.7638	0.6708	0.7068	7.1
minisom	lsun	40	60	50000			0.3	gaussian					0.15	100	upper	3	232	59	0.7457	0.5743	0.7706	4.3
minisom	lsun	60	100	50000			0.3	gaussian					0.15	100	upper	2	282	82	0.7092	0.6980	0.6931	9.8
minisom	lsun	50	82	50000			0.3	gaussian					0.15	200	upper	2	267	62	0.7678	0.6609	0.7054	7.3
minisom	lsun	40	60	50000			0.3	gaussian					0.15	200	upper	3	231	59	0.7446	0.5718	0.7694	4.3
minisom	lsun	60	100	50000			0.3	gaussian					0.15	200	upper	2	279	81	0.7097	0.6906	0.6910	10.0
minisom	lsun	50	82	50000			0.3	gaussian					0.2013	100	upper	2	271	64	0.7638	0.6708	0.7068	7.1
minisom	lsun	40	60	50000			0.3	gaussian					0.2013	100	upper	3	232	59	0.7457	0.5743	0.7706	4.3
minisom	lsun	60	100	50000			0.3	gaussian					0.2013	100	upper	2	282	82	0.7092	0.6980	0.6931	9.8
minisom	lsun	50	82	50000			0.3	gaussian					0.2013	200	upper	2	267	62	0.7678	0.6609	0.7054	7.3
minisom	lsun	40	60	50000			0.3	gaussian					0.2013	200	upper	3	231	59	0.7446	0.5718	0.7694	4.3
minisom	lsun	60	100	50000			0.3	gaussian					0.2013	200	upper	2	279	81	0.7097	0.6906	0.6910	10.0
minisom	lsun	50	82	50000			0.3	gaussian					0.25	100	upper	2	271	64	0.7638	0.6708	0.7068	7.1
minisom	lsun	40	60	50000			0.3	gaussian					0.25	100	upper	3	232	59	0.7457	0.5743	0.7706	4.3
minisom	lsun	60	100	50000			0.3	gaussian					0.25	100	upper	2	282	82	0.7092	0.6980	0.6931	9.8
minisom	lsun	50	82	50000			0.3	gaussian					0.25	200	upper	2	267	62	0.7678	0.6609	0.7054	7.3
minisom	lsun	40	60	50000			0.3	gaussian					0.25	200	upper	3	231	59	0.7446	0.5718	0.7694	4.3
minisom	lsun	60	100	50000			0.3	gaussian					0.25	200	upper	2	279	81	0.7097	0.6906	0.6910	10.0
minisom	lsun	50	82	50000			0.5	gaussian					0.15	100	upper	1	301	139	0.5382	0.7450	0.5388	7.1
minisom	lsun	40	60	50000			0.5	gaussian					0.15	100	upper	2	251	51	0.7968	0.6213	0.7051	4.3
minisom	lsun	60	100	50000			0.5	gaussian					0.15	100	upper	2	296	89	0.6993	0.7327	0.6995	9.8
minisom	lsun	50	82	50000			0.5	gaussian					0.15	200	upper	1	301	139	0.5382	0.7450	0.5388	7.3
minisom	lsun	40	60	50000			0.5	gaussian					0.15	200	upper	2	251	51	0.7968	0.6213	0.7051	4.3
minisom	lsun	60	100	50000			0.5	gaussian					0.15	200	upper	2	295	89	0.6983	0.7302	0.6984	10.0
minisom	lsun	50	82	50000			0.5	gaussian					0.2013	100	upper	1	301	139	0.5382	0.7450	0.5388	7.1
minisom	lsun	40	60	50000			0.5	gaussian					0.2013	100	upper	2	251	51	0.7968	0.6213	0.7051	4.3
minisom	lsun	60	100	50000			0.5	gaussian					0.2013	100	upper	2	296	89	0.6993	0.7327	0.6995	9.8
minisom	lsun	50	82	50000			0.5	gaussian					0.2013	200	upper	1	301	139	0.5382	0.7450	0.5388	7.3
minisom	lsun	40	60	50000			0.5	gaussian					0.2013	200	upper	2	251	51	0.7968	0.6213	0.7051	4.3
minisom	lsun	60	100	50000			0.5	gaussian					0.2013	200	upper	2	295	89	0.6983	0.7302	0.6984	10.0
minisom	lsun	50	82	50000			0.5	gaussian					0.25	100	upper	1	301	139	0.5382	0.7450	0.5388	7.1
minisom	lsun	40	60	50000			0.5	gaussian					0.25	100	upper	2	251	51	0.7968	0.6213	0.7051	4.3
minisom	lsun	60	100	50000			0.5	gaussian					0.25	100	upper	2	296	89	0.6993	0.7327	0.6995	9.9
minisom	lsun	50	82	50000			0.5	gaussian					0.25	200	upper	1	301	139	0.5382	0.7450	0.5388	7.3
minisom	lsun	40	60	50000			0.5	gaussian					0.25	200	upper	2	251	51	0.7968	0.6213	0.7051	4.3
minisom	lsun	60	100	50000			0.5	gaussian					0.25	200	upper	2	295	89	0.6983	0.7302	0.6984	10.1
minisom	lsun	50	82	50000			0.7	gaussian					0.15	100	upper	1	245	103	0.5796	0.6064	0.5138	7.1
minisom	lsun	40	60	50000			0.7	gaussian					0.15	100	upper	3	225	62	0.7244	0.5569	0.7569	4.3
minisom	lsun	60	100	50000			0.7	gaussian					0.15	100	upper	1	301	143	0.5249	0.7450	0.5335	9.9
minisom	lsun	50	82	50000			0.7	gaussian					0.15	200	upper	1	243	102	0.5802	0.6015	0.5125	7.2
minisom	lsun	40	60	50000			0.7	gaussian					0.15	200	upper	4	210	23	0.8905	0.5198	0.7121	4.3
