backend	dataset	grid_rows	grid_cols	iterations	epochs	sigma	learning_rate	neighborhood_function	batch_size	train_len_factor	initialization	mapshape	pareto_fraction	n_threshold_steps	threshold_anchor	n_clusters	n_assigned	n_wrong	purity	coverage	paper_score	elapsed_s
minisom	twodiamonds	40	50	50000			0.3	gaussian					0.15	100	upper	1	445	221	0.5034	0.5563	0.5182	3.5
minisom	twodiamonds	30	40	50000			0.3	gaussian					0.15	100	upper	1	453	214	0.5276	0.5663	0.5309	2.4
minisom	twodiamonds	50	60	50000			0.3	gaussian					0.15	100	upper	1	558	264	0.5269	0.6975	0.5700	5.1
minisom	twodiamonds	40	50	50000			0.3	gaussian					0.15	200	upper	1	444	221	0.5023	0.5550	0.5174	3.6
minisom	twodiamonds	30	40	50000			0.3	gaussian					0.15	200	upper	1	454	215	0.5264	0.5675	0.5308	2.4
minisom	twodiamonds	50	60	50000			0.3	gaussian					0.15	200	upper	1	546	256	0.5311	0.6825	0.5672	5.2
minisom	twodiamonds	40	50	50000			0.3	gaussian					0.2013	100	upper	1	445	221	0.5034	0.5563	0.5182	3.5
minisom	twodiamonds	30	40	50000			0.3	gaussian					0.2013	100	upper	1	453	214	0.5276	0.5663	0.5309	2.3
minisom	twodiamonds	50	60	50000			0.3	gaussian					0.2013	100	upper	1	558	264	0.5269	0.6975	0.5700	5.1
minisom	twodiamonds	40	50	50000			0.3	gaussian					0.2013	200	upper	1	444	221	0.5023	0.5550	0.5174	3.6
minisom	twodiamonds	30	40	50000			0.3	gaussian					0.2013	200	upper	1	454	215	0.5264	0.5675	0.5308	2.4
minisom	twodiamonds	50	60	50000			0.3	gaussian					0.2013	200	upper	1	546	256	0.5311	0.6825	0.5672	5.2
minisom	twodiamonds	40	50	50000			0.3	gaussian					0.25	100	upper	1	445	221	0.5034	0.5563	0.5182	3.5
minisom	twodiamonds	30	40	50000			0.3	gaussian					0.25	100	upper	1	453	214	0.5276	0.5663	0.5309	2.3
minisom	twodiamonds	50	60	50000			0.3	gaussian					0.25	100	upper	1	558	264	0.5269	0.6975	0.5700	5.1
minisom	twodiamonds	40	50	50000			0.3	gaussian					0.25	200	upper	1	444	221	0.5023	0.5550	0.5174	3.5
minisom	twodiamonds	30	40	50000			0.3	gaussian					0.25	200	upper	1	454	215	0.5264	0.5675	0.5308	2.4
minisom	twodiamonds	50	60	50000			0.3	gaussian					0.25	200	upper	1	546	256	0.5311	0.6825	0.5672	5.2
minisom	twodiamonds	40	50	50000			0.5	gaussian					0.15	100	upper	1	486	237	0.5123	0.6075	0.5372	3.5
minisom	twodiamonds	30	40	50000			0.5	gaussian					0.15	100	upper	1	466	228	0.5107	0.5825	0.5290	2.4
minisom	twodiamonds	50	60	50000			0.5	gaussian					0.15	100	upper	1	472	221	0.5318	0.5900	0.5397	5.2
minisom	twodiamonds	40	50	50000			0.5	gaussian					0.15	200	upper	1	483	237	0.5093	0.6038	0.5349	3.5
minisom	twodiamonds	30	40	50000			0.5	gaussian					0.15	200	upper	1	465	227	0.5118	0.5813	0.5291	2.4
minisom	twodiamonds	50	60	50000			0.5	gaussian					0.15	200	upper	1	471	221	0.5308	0.5887	0.5389	5.3
minisom	twodiamonds	40	50	50000			0.5	gaussian					0.2013	100	upper	1	486	237	0.5123	0.6075	0.5372	3.5
minisom	twodiamonds	30	40	50000			0.5	gaussian					0.2013	100	upper	1	466	228	0.5107	0.5825	0.5290	2.4
minisom	twodiamonds	50	60	50000			0.5	gaussian					0.2013	100	upper	1	472	221	0.5318	0.5900	0.5397	5.2
minisom	twodiamonds	40	50	50000			0.5	gaussian					0.2013	200	upper	1	483	237	0.5093	0.6038	0.5349	3.6
minisom	twodiamonds	30	40	50000			0.5	gaussian					0.2013	200	upper	1	465	227	0.5118	0.5813	0.5291	2.4
minisom	twodiamonds	50	60	50000			0.5	gaussian					0.2013	200	upper	1	471	221	0.5308	0.5887	0.5389	5.3
minisom	twodiamonds	40	50	50000			0.5	gaussian					0.25	100	upper	1	486	237	0.5123	0.6075	0.5372	3.5
