backend	dataset	grid_rows	grid_cols	iterations	epochs	sigma	learning_rate	neighborhood_function	batch_size	train_len_factor	initialization	mapshape	pareto_fraction	n_threshold_steps	threshold_anchor	n_clusters	n_assigned	n_wrong	purity	coverage	paper_score	elapsed_s
minisom	wingnut	50	82	50000			0.3	gaussian					0.15	100	upper	2	528	191	0.6383	0.5197	0.7112	7.1
minisom	wingnut	40	60	50000			0.3	gaussian					0.15	100	upper	1	964	476	0.5062	0.9488	0.6371	4.2
minisom	wingnut	60	100	50000			0.3	gaussian					0.15	100	upper	1	550	250	0.5455	0.5413	0.5306	9.8
minisom	wingnut	50	82	50000			0.3	gaussian					0.15	200	upper	2	532	195	0.6335	0.5236	0.7105	7.2
minisom	wingnut	40	60	50000			0.3	gaussian					0.15	200	upper	2	520	188	0.6385	0.5118	0.7089	4.3
minisom	wingnut	60	100	50000			0.3	gaussian					0.15	200	upper	1	550	250	0.5455	0.5413	0.5306	10.0
minisom	wingnut	50	82	50000			0.3	gaussian					0.2013	100	upper	2	528	191	0.6383	0.5197	0.7112	7.1
minisom	wingnut	40	60	50000			0.3	gaussian					0.2013	100	upper	1	964	476	0.5062	0.9488	0.6371	4.3
minisom	wingnut	60	100	50000			0.3	gaussian					0.2013	100	upper	1	550	250	0.5455	0.5413	0.5306	9.8
minisom	wingnut	50	82	50000			0.3	gaussian					0.2013	200	upper	2	532	195	0.6335	0.5236	0.7105	7.2
minisom	wingnut	40	60	50000			0.3	gaussian					0.2013	200	upper	2	520	188	0.6385	0.5118	0.7089	4.3
minisom	wingnut	60	100	50000			0.3	gaussian					0.2013	200	upper	1	550	250	0.5455	0.5413	0.5306	10.0
minisom	wingnut	50	82	50000			0.3	gaussian					0.25	100	upper	2	528	191	0.6383	0.5197	0.7112	7.1
minisom	wingnut	40	60	50000			0.3	gaussian					0.25	100	upper	1	964	476	0.5062	0.9488	0.6371	4.3
minisom	wingnut	60	100	50000			0.3	gaussian					0.25	100	upper	1	550	250	0.5455	0.5413	0.5306	9.8
minisom	wingnut	50	82	50000			0.3	gaussian					0.25	200	upper	2	532	195	0.6335	0.5236	0.7105	7.2
minisom	wingnut	40	60	50000			0.3	gaussian					0.25	200	upper	2	520	188	0.6385	0.5118	0.7089	4.3
minisom	wingnut	60	100	50000			0.3	gaussian					0.25	200	upper	1	550	250	0.5455	0.5413	0.5306	10.0
minisom	wingnut	50	82	50000			0.5	gaussian					0.15	100	upper	2	526	199	0.6217	0.5177	0.7040	7.1
minisom	wingnut	40	60	50000			0.5	gaussian					0.15	100	upper	2	515	193	0.6252	0.5069	0.7022	4.3
minisom	wingnut	60	100	50000			0.5	gaussian					0.15	100	upper	1	540	245	0.5463	0.5315	0.5280	9.8
minisom	wingnut	50	82	50000			0.5	gaussian					0.15	200	upper	2	525	198	0.6229	0.5167	0.7042	7.3
