backend	dataset	grid_rows	grid_cols	iterations	epochs	sigma	learning_rate	neighborhood_function	batch_size	train_len_factor	initialization	mapshape	pareto_fraction	n_threshold_steps	threshold_anchor	n_clusters	n_assigned	n_wrong	purity	coverage	paper_score	elapsed_s
sompy	atom	50	82							1.0	pca		0.15	100	upper	2	800	208	0.7400	1.0000	0.8960	40.7
sompy	atom	50	82							1.0	pca		0.15	200	upper	2	800	208	0.7400	1.0000	0.8960	29.2
sompy	atom	50	82							1.0	pca		0.2013	100	upper	2	800	208	0.7400	1.0000	0.8960	29.1
sompy	atom	50	82							1.0	pca		0.2013	200	upper	2	800	208	0.7400	1.0000	0.8960	29.3
sompy	atom	50	82							1.0	pca		0.25	100	upper	2	800	208	0.7400	1.0000	0.8960	29.1
sompy	atom	50	82							1.0	pca		0.25	200	upper	2	800	208	0.7400	1.0000	0.8960	29.4
sompy	atom	50	82							1.0	random		0.15	100	upper	1	800	400	0.5000	1.0000	0.6500	33.3
sompy	atom	50	82							1.0	random		0.15	200	upper	1	800	400	0.5000	1.0000	0.6500	33.5
sompy	atom	50	82							1.0	random		0.2013	100	upper	1	800	400	0.5000	1.0000	0.6500	33.3
sompy	atom	50	82							1.0	random		0.2013	200	upper	1	800	400	0.5000	1.0000	0.6500	33.5
sompy	atom	50	82							1.0	random		0.25	100	upper	1	800	400	0.5000	1.0000	0.6500	33.3
sompy	atom	50	82							1.0	random		0.25	200	upper	1	800	400	0.5000	1.0000	0.6500	33.5
sompy	atom	50	82							3.0	pca		0.15	100	upper	2	800	211	0.7362	1.0000	0.8945	86.4
sompy	atom	50	82							3.0	pca		0.15	200	upper	2	800	211	0.7362	1.0000	0.8945	86.6
sompy	atom	50	82							3.0	pca		0.2013	100	upper	2	800	211	0.7362	1.0000	0.8945	86.1
sompy	atom	50	82							3.0	pca		0.2013	200	upper	2	800	211	0.7362	1.0000	0.8945	86.2
sompy	atom	50	82							3.0	pca		0.25	100	upper	2	800	211	0.7362	1.0000	0.8945	85.9
sompy	atom	50	82							3.0	pca		0.25	200	upper	2	800	211	0.7362	1.0000	0.8945	86.5
sompy	atom	50	82							3.0	random		0.15	100	upper	1	800	400	0.5000	1.0000	0.6500	99.0
sompy	atom	50	82							3.0	random		0.15	200	upper	1	800	400	0.5000	1.0000	0.6500	99.2
sompy	atom	50	82							3.0	random		0.2013	100	upper	1	800	400	0.5000	1.0000	0.6500	98.9
sompy	atom	50	82							3.0	random		0.2013	200	upper	1	800	400	0.5000	1.0000	0.6500	99.2
sompy	atom	50	82							3.0	random		0.25	100	upper	1	800	400	0.5000	1.0000	0.6500	98.9
sompy	atom	50	82							3.0	random		0.25	200	upper	1	800	400	0.5000	1.0000	0.6500	98.9
sompy	atom	50	82							8.0	pca		0.15	100	upper	24	376	18	0.9521	0.4700	0.5219	229.1
sompy	atom	50	82							8.0	pca		0.15	200	upper	24	376	18	0.9521	0.4700	0.5219	230.1
sompy	atom	50	82							8.0	pca		0.2013	100	upper	24	376	18	0.9521	0.4700	0.5219	229.9
sompy	atom	50	82							8.0	pca		0.2013	200	upper	24	376	18	0.9521	0.4700	0.5219	229.3
sompy	atom	50	82							8.0	pca		0.25	100	upper	24	376	18	0.9521	0.4700	0.5219	229.4
sompy	atom	50	82							8.0	pca		0.25	200	upper	24	376	18	0.9521	0.4700	0.5219	230.2
sompy	atom	50	82							8.0	random		0.15	100	upper	1	799	399	0.5006	0.9988	0.6499	262.7
sompy	atom	50	82							8.0	random		0.15	200	upper	1	799	399	0.5006	0.9988	0.6499	262.9
sompy	atom	50	82							8.0	random		0.2013	100	upper	1	799	399	0.5006	0.9988	0.6499	263.3
sompy	atom	50	82							8.0	random		0.2013	200	upper	1	799	399	0.5006	0.9988	0.6499	263.1
sompy	atom	50	82							8.0	random		0.25	100	upper	1	799	399	0.5006	0.9988	0.6499	262.2
sompy	atom	50	82							8.0	random		0.25	200	upper	1	799	399	0.5006	0.9988	0.6499	263.3
sompy	atom	50	82							20.0	pca		0.15	100	upper	1	800	400	0.5000	1.0000	0.6500	573.1
sompy	atom	50	82							20.0	pca		0.15	200	upper	1	800	400	0.5000	1.0000	0.6500	574.2
sompy	atom	50	82							20.0	pca		0.2013	100	upper	1	800	400	0.5000	1.0000	0.6500	573.1
sompy	atom	50	82							20.0	pca		0.2013	200	upper	1	800	400	0.5000	1.0000	0.6500	573.3
sompy	atom	50	82							20.0	pca		0.25	100	upper	1	800	400	0.5000	1.0000	0.6500	574.2
sompy	atom	50	82							20.0	pca		0.25	200	upper	1	800	400	0.5000	1.0000	0.6500	573.5
sompy	atom	50	82							20.0	random		0.15	100	upper	1	800	400	0.5000	1.0000	0.6500	655.9
sompy	atom	50	82							20.0	random		0.15	200	upper	1	800	400	0.5000	1.0000	0.6500	656.6
sompy	atom	50	82							20.0	random		0.2013	100	upper	1	800	400	0.5000	1.0000	0.6500	655.0
sompy	atom	50	82							20.0	random		0.2013	200	upper	1	800	400	0.5000	1.0000	0.6500	652.0
sompy	atom	50	82							20.0	random		0.25	100	upper	1	800	400	0.5000	1.0000	0.6500	655.5
sompy	atom	50	82							20.0	random		0.25	200	upper	1	800	400	0.5000	1.0000	0.6500	655.8
