backend	dataset	grid_rows	grid_cols	iterations	epochs	sigma	learning_rate	neighborhood_function	batch_size	train_len_factor	initialization	mapshape	pareto_fraction	n_threshold_steps	threshold_anchor	n_clusters	n_assigned	n_wrong	purity	coverage	paper_score	elapsed_s
sompy	chainlink	40	60							1.0	pca		0.15	100	upper	2	996	224	0.7751	0.9960	0.8088	13.1
sompy	chainlink	40	60							1.0	pca		0.2013	100	upper	2	996	224	0.7751	0.9960	0.8088	13.1
sompy	chainlink	40	60							1.0	pca		0.15	200	upper	2	993	224	0.7744	0.9930	0.8077	13.3
sompy	chainlink	40	60							1.0	pca		0.2013	200	upper	2	993	224	0.7744	0.9930	0.8077	10.5
sompy	chainlink	50	82							1.0	pca		0.15	100	upper	2	998	225	0.7745	0.9980	0.8092	42.0
sompy	chainlink	50	82							1.0	pca		0.2013	100	upper	2	998	225	0.7745	0.9980	0.8092	42.3
sompy	chainlink	50	82							1.0	pca		0.15	200	upper	2	998	225	0.7745	0.9980	0.8092	42.7
sompy	chainlink	40	60							1.0	pca		0.25	100	upper	2	996	224	0.7751	0.9960	0.8088	11.1
sompy	chainlink	50	82							1.0	pca		0.2013	200	upper	2	998	225	0.7745	0.9980	0.8092	40.5
sompy	chainlink	40	60							1.0	pca		0.25	200	upper	2	993	224	0.7744	0.9930	0.8077	11.2
sompy	chainlink	50	82							1.0	pca		0.25	100	upper	2	998	225	0.7745	0.9980	0.8092	40.9
sompy	chainlink	50	82							1.0	pca		0.25	200	upper	2	998	225	0.7745	0.9980	0.8092	40.6
sompy	chainlink	60	100							1.0	pca		0.15	100	upper	1	1000	500	0.5000	1.0000	0.6000	102.9
sompy	chainlink	60	100							1.0	pca		0.15	200	upper	1	1000	500	0.5000	1.0000	0.6000	103.6
sompy	chainlink	40	60							1.0	random		0.15	100	upper	1	1000	500	0.5000	1.0000	0.6000	11.7
sompy	chainlink	60	100							1.0	pca		0.2013	100	upper	1	1000	500	0.5000	1.0000	0.6000	100.6
sompy	chainlink	40	60							1.0	random		0.15	200	upper	1	1000	500	0.5000	1.0000	0.6000	12.2
sompy	chainlink	60	100							1.0	pca		0.2013	200	upper	1	1000	500	0.5000	1.0000	0.6000	102.0
sompy	chainlink	50	82							1.0	random		0.15	100	upper	1	999	499	0.5005	0.9990	0.5999	44.8
sompy	chainlink	40	60							1.0	random		0.2013	100	upper	1	1000	500	0.5000	1.0000	0.6000	12.2
sompy	chainlink	60	100							1.0	pca		0.25	100	upper	1	1000	500	0.5000	1.0000	0.6000	100.5
sompy	chainlink	50	82							1.0	random		0.15	200	upper	1	999	499	0.5005	0.9990	0.5999	44.6
sompy	chainlink	40	60							1.0	random		0.2013	200	upper	1	1000	500	0.5000	1.0000	0.6000	12.1
sompy	chainlink	50	82							1.0	random		0.2013	100	upper	1	999	499	0.5005	0.9990	0.5999	45.1
sompy	chainlink	60	100							1.0	pca		0.25	200	upper	1	1000	500	0.5000	1.0000	0.6000	99.5
sompy	chainlink	40	60							1.0	random		0.25	100	upper	1	1000	500	0.5000	1.0000	0.6000	11.9
sompy	chainlink	50	82							1.0	random		0.2013	200	upper	1	999	499	0.5005	0.9990	0.5999	44.9
sompy	chainlink	40	60							1.0	random		0.25	200	upper	1	1000	500	0.5000	1.0000	0.6000	12.1
sompy	chainlink	50	82							1.0	random		0.25	100	upper	1	999	499	0.5005	0.9990	0.5999	44.7
sompy	chainlink	60	100							1.0	random		0.15	100	upper	1	1000	500	0.5000	1.0000	0.6000	111.9
sompy	chainlink	50	82							1.0	random		0.25	200	upper	1	999	499	0.5005	0.9990	0.5999	45.0
sompy	chainlink	60	100							1.0	random		0.15	200	upper	1	1000	500	0.5000	1.0000	0.6000	112.7
