backend	dataset	grid_rows	grid_cols	iterations	epochs	sigma	learning_rate	neighborhood_function	batch_size	train_len_factor	initialization	mapshape	pareto_fraction	n_threshold_steps	threshold_anchor	n_clusters	n_assigned	n_wrong	purity	coverage	paper_score	elapsed_s
sompy	chainlink_u	50	82							1.0	pca		0.15	100	upper	2	998	225	0.7745	0.9980	0.9092	30.6
sompy	chainlink_u	50	82							1.0	pca		0.15	200	upper	2	998	225	0.7745	0.9980	0.9092	30.0
sompy	chainlink_u	50	82							1.0	pca		0.2013	100	upper	2	998	225	0.7745	0.9980	0.9092	30.8
sompy	chainlink_u	50	82							1.0	pca		0.2013	200	upper	2	998	225	0.7745	0.9980	0.9092	30.7
sompy	chainlink_u	50	82							1.0	pca		0.25	100	upper	2	998	225	0.7745	0.9980	0.9092	30.2
sompy	chainlink_u	50	82							1.0	pca		0.25	200	upper	2	998	225	0.7745	0.9980	0.9092	30.8
sompy	chainlink_u	50	82							1.0	random		0.15	100	upper	1	999	499	0.5005	0.9990	0.6499	33.1
sompy	chainlink_u	50	82							1.0	random		0.15	200	upper	1	999	499	0.5005	0.9990	0.6499	34.2
sompy	chainlink_u	50	82							1.0	random		0.2013	100	upper	1	999	499	0.5005	0.9990	0.6499	34.2
sompy	chainlink_u	50	82							1.0	random		0.2013	200	upper	1	999	499	0.5005	0.9990	0.6499	33.8
sompy	chainlink_u	50	82							1.0	random		0.25	100	upper	1	999	499	0.5005	0.9990	0.6499	33.9
sompy	chainlink_u	50	82							1.0	random		0.25	200	upper	1	999	499	0.5005	0.9990	0.6499	34.1
sompy	chainlink_u	50	82							3.0	pca		0.15	100	upper	1	1000	500	0.5000	1.0000	0.6500	88.6
sompy	chainlink_u	50	82							3.0	pca		0.15	200	upper	1	1000	500	0.5000	1.0000	0.6500	87.3
sompy	chainlink_u	50	82							3.0	pca		0.2013	100	upper	1	1000	500	0.5000	1.0000	0.6500	87.1
