backend	dataset	grid_rows	grid_cols	iterations	epochs	sigma	learning_rate	neighborhood_function	batch_size	train_len_factor	initialization	mapshape	pareto_fraction	n_threshold_steps	threshold_anchor	n_clusters	n_assigned	n_wrong	purity	coverage	paper_score	elapsed_s
sompy	lsun	50	82							1.0	pca		0.15	100	upper	2	404	200	0.5050	1.0000	0.7020	48.4
sompy	lsun	40	60							1.0	pca		0.15	100	upper	2	403	199	0.5062	0.9975	0.7017	11.3
sompy	lsun	60	100							1.0	pca		0.15	100	upper	2	404	200	0.5050	1.0000	0.7020	133.7
sompy	lsun	50	82							1.0	pca		0.15	200	upper	2	404	200	0.5050	1.0000	0.7020	48.8
sompy	lsun	40	60							1.0	pca		0.15	200	upper	2	403	199	0.5062	0.9975	0.7017	11.4
sompy	lsun	60	100							1.0	pca		0.15	200	upper	2	404	200	0.5050	1.0000	0.7020	134.1
sompy	lsun	50	82							1.0	pca		0.2013	100	upper	2	404	200	0.5050	1.0000	0.7020	48.5
sompy	lsun	40	60							1.0	pca		0.2013	100	upper	2	403	199	0.5062	0.9975	0.7017	11.2
sompy	lsun	60	100							1.0	pca		0.2013	100	upper	2	404	200	0.5050	1.0000	0.7020	133.7
sompy	lsun	50	82							1.0	pca		0.2013	200	upper	2	404	200	0.5050	1.0000	0.7020	48.5
sompy	lsun	40	60							1.0	pca		0.2013	200	upper	2	403	199	0.5062	0.9975	0.7017	11.4
sompy	lsun	60	100							1.0	pca		0.2013	200	upper	2	404	200	0.5050	1.0000	0.7020	134.0
sompy	lsun	50	82							1.0	pca		0.25	100	upper	2	404	200	0.5050	1.0000	0.7020	48.5
sompy	lsun	40	60							1.0	pca		0.25	100	upper	2	403	199	0.5062	0.9975	0.7017	11.3
sompy	lsun	60	100							1.0	pca		0.25	100	upper	2	404	200	0.5050	1.0000	0.7020	133.7
sompy	lsun	50	82							1.0	pca		0.25	200	upper	2	404	200	0.5050	1.0000	0.7020	48.7
sompy	lsun	40	60							1.0	pca		0.25	200	upper	2	403	199	0.5062	0.9975	0.7017	11.4
sompy	lsun	60	100							1.0	pca		0.25	200	upper	2	404	200	0.5050	1.0000	0.7020	134.0
sompy	lsun	50	82							1.0	random		0.15	100	upper	2	404	200	0.5050	1.0000	0.7020	54.9
sompy	lsun	40	60							1.0	random		0.15	100	upper	19	379	37	0.9024	0.9381	0.6424	12.7
sompy	lsun	60	100							1.0	random		0.15	100	upper	2	404	200	0.5050	1.0000	0.7020	152.7
sompy	lsun	50	82							1.0	random		0.15	200	upper	2	404	200	0.5050	1.0000	0.7020	54.9
sompy	lsun	40	60							1.0	random		0.15	200	upper	20	379	37	0.9024	0.9381	0.6424	12.9
sompy	lsun	60	100							1.0	random		0.15	200	upper	2	404	200	0.5050	1.0000	0.7020	152.8
sompy	lsun	50	82							1.0	random		0.2013	100	upper	2	404	200	0.5050	1.0000	0.7020	54.7
sompy	lsun	40	60							1.0	random		0.2013	100	upper	19	379	37	0.9024	0.9381	0.6424	12.7
sompy	lsun	60	100							1.0	random		0.2013	100	upper	2	404	200	0.5050	1.0000	0.7020	152.8
sompy	lsun	50	82							1.0	random		0.2013	200	upper	2	404	200	0.5050	1.0000	0.7020	55.0
sompy	lsun	40	60							1.0	random		0.2013	200	upper	20	379	37	0.9024	0.9381	0.6424	12.9
sompy	lsun	60	100							1.0	random		0.2013	200	upper	2	404	200	0.5050	1.0000	0.7020	153.1
sompy	lsun	50	82							1.0	random		0.25	100	upper	2	404	200	0.5050	1.0000	0.7020	54.8
sompy	lsun	40	60							1.0	random		0.25	100	upper	19	379	37	0.9024	0.9381	0.6424	12.7
sompy	lsun	60	100							1.0	random		0.25	100	upper	2	404	200	0.5050	1.0000	0.7020	152.4
