backend	dataset	grid_rows	grid_cols	iterations	epochs	sigma	learning_rate	neighborhood_function	batch_size	train_len_factor	initialization	mapshape	pareto_fraction	n_threshold_steps	threshold_anchor	n_clusters	n_assigned	n_wrong	purity	coverage	paper_score	elapsed_s
sompy	twodiamonds	40	50							1.0	pca		0.15	100	upper	6	704	352	0.5000	0.8800	0.4640	16.5
sompy	twodiamonds	30	40							1.0	pca		0.15	100	upper	1	691	342	0.5051	0.8638	0.6112	1.8
sompy	twodiamonds	50	60							1.0	pca		0.15	100	upper	7	754	376	0.5013	0.9425	0.4833	16.1
sompy	twodiamonds	40	50							1.0	pca		0.15	200	upper	9	685	341	0.5022	0.8562	0.4578	5.5
sompy	twodiamonds	30	40							1.0	pca		0.15	200	upper	1	689	341	0.5051	0.8612	0.6104	1.7
sompy	twodiamonds	50	60							1.0	pca		0.15	200	upper	7	753	375	0.5020	0.9413	0.4832	14.8
sompy	twodiamonds	40	50							1.0	pca		0.2013	100	upper	6	704	352	0.5000	0.8800	0.4640	5.3
sompy	twodiamonds	30	40							1.0	pca		0.2013	100	upper	1	691	342	0.5051	0.8638	0.6112	1.6
sompy	twodiamonds	50	60							1.0	pca		0.2013	100	upper	7	754	376	0.5013	0.9425	0.4833	15.0
sompy	twodiamonds	40	50							1.0	pca		0.2013	200	upper	9	685	341	0.5022	0.8562	0.4578	5.9
sompy	twodiamonds	30	40							1.0	pca		0.2013	200	upper	1	689	341	0.5051	0.8612	0.6104	1.7
sompy	twodiamonds	50	60							1.0	pca		0.2013	200	upper	7	753	375	0.5020	0.9413	0.4832	15.7
sompy	twodiamonds	40	50							1.0	pca		0.25	100	upper	6	704	352	0.5000	0.8800	0.4640	5.5
sompy	twodiamonds	30	40							1.0	pca		0.25	100	upper	1	691	342	0.5051	0.8638	0.6112	1.6
sompy	twodiamonds	50	60							1.0	pca		0.25	100	upper	7	754	376	0.5013	0.9425	0.4833	15.1
sompy	twodiamonds	40	50							1.0	pca		0.25	200	upper	9	685	341	0.5022	0.8562	0.4578	5.8
sompy	twodiamonds	30	40							1.0	pca		0.25	200	upper	1	689	341	0.5051	0.8612	0.6104	1.7
sompy	twodiamonds	50	60							1.0	pca		0.25	200	upper	7	753	375	0.5020	0.9413	0.4832	15.5
sompy	twodiamonds	40	50							1.0	random		0.15	100	upper	3	642	318	0.5047	0.8025	0.5926	6.3
sompy	twodiamonds	30	40							1.0	random		0.15	100	upper	1	721	358	0.5035	0.9012	0.6218	2.0
sompy	twodiamonds	50	60							1.0	random		0.15	100	upper	13	654	328	0.4985	0.8175	0.4446	16.7
sompy	twodiamonds	40	50							1.0	random		0.15	200	upper	3	639	315	0.5070	0.7987	0.5924	6.2
sompy	twodiamonds	30	40							1.0	random		0.15	200	upper	1	720	358	0.5028	0.9000	0.6211	2.0
