backend	dataset	grid_rows	grid_cols	iterations	epochs	sigma	learning_rate	neighborhood_function	batch_size	train_len_factor	initialization	mapshape	pareto_fraction	n_threshold_steps	threshold_anchor	n_clusters	n_assigned	n_wrong	purity	coverage	paper_score	elapsed_s
sompy	wingnut	40	60							1.0	pca		0.2013	100	upper	23	694	353	0.4914	0.6831	0.4015	11.8
sompy	wingnut	40	60							1.0	pca		0.15	100	upper	23	694	353	0.4914	0.6831	0.4015	11.9
sompy	wingnut	40	60							1.0	pca		0.15	200	upper	21	701	355	0.4936	0.6900	0.4044	11.9
sompy	wingnut	40	60							1.0	pca		0.2013	200	upper	21	701	355	0.4936	0.6900	0.4044	10.4
sompy	wingnut	50	82							1.0	pca		0.15	100	upper	17	862	446	0.4826	0.8484	0.4476	40.6
sompy	wingnut	50	82							1.0	pca		0.2013	100	upper	17	862	446	0.4826	0.8484	0.4476	40.6
sompy	wingnut	50	82							1.0	pca		0.15	200	upper	17	862	446	0.4826	0.8484	0.4476	40.8
sompy	wingnut	40	60							1.0	pca		0.25	100	upper	23	694	353	0.4914	0.6831	0.4015	11.1
sompy	wingnut	50	82							1.0	pca		0.2013	200	upper	17	862	446	0.4826	0.8484	0.4476	40.6
sompy	wingnut	40	60							1.0	pca		0.25	200	upper	21	701	355	0.4936	0.6900	0.4044	11.1
sompy	wingnut	50	82							1.0	pca		0.25	100	upper	17	862	446	0.4826	0.8484	0.4476	40.6
sompy	wingnut	50	82							1.0	pca		0.25	200	upper	17	862	446	0.4826	0.8484	0.4476	40.7
sompy	wingnut	60	100							1.0	pca		0.15	100	upper	18	966	496	0.4865	0.9508	0.4799	102.1
sompy	wingnut	60	100							1.0	pca		0.15	200	upper	23	961	501	0.4787	0.9459	0.4752	102.9
sompy	wingnut	40	60							1.0	random		0.15	100	upper	1	931	465	0.5005	0.9163	0.6251	11.8
sompy	wingnut	60	100							1.0	pca		0.2013	100	upper	18	966	496	0.4865	0.9508	0.4799	100.3
sompy	wingnut	40	60							1.0	random		0.15	200	upper	1	923	461	0.5005	0.9085	0.6228	12.2
sompy	wingnut	60	100							1.0	pca		0.2013	200	upper	23	961	501	0.4787	0.9459	0.4752	101.4
sompy	wingnut	50	82							1.0	random		0.15	100	upper	13	904	466	0.4845	0.8898	0.4607	44.2
sompy	wingnut	40	60							1.0	random		0.2013	100	upper	1	931	465	0.5005	0.9163	0.6251	11.9
sompy	wingnut	60	100							1.0	pca		0.25	100	upper	18	966	496	0.4865	0.9508	0.4799	99.3
sompy	wingnut	50	82							1.0	random		0.15	200	upper	15	908	469	0.4835	0.8937	0.4615	44.4
sompy	wingnut	40	60							1.0	random		0.2013	200	upper	1	923	461	0.5005	0.9085	0.6228	12.0
sompy	wingnut	50	82							1.0	random		0.2013	100	upper	13	904	466	0.4845	0.8898	0.4607	44.5
sompy	wingnut	60	100							1.0	pca		0.25	200	upper	23	961	501	0.4787	0.9459	0.4752	99.3
sompy	wingnut	40	60							1.0	random		0.25	100	upper	1	931	465	0.5005	0.9163	0.6251	12.0
sompy	wingnut	50	82							1.0	random		0.2013	200	upper	15	908	469	0.4835	0.8937	0.4615	44.2
sompy	wingnut	40	60							1.0	random		0.25	200	upper	1	923	461	0.5005	0.9085	0.6228	12.2
sompy	wingnut	50	82							1.0	random		0.25	100	upper	13	904	466	0.4845	0.8898	0.4607	43.7
sompy	wingnut	60	100							1.0	random		0.15	100	upper	29	962	510	0.4699	0.9469	0.4720	111.4
sompy	wingnut	50	82							1.0	random		0.25	200	upper	15	908	469	0.4835	0.8937	0.4615	44.1
sompy	wingnut	60	100							1.0	random		0.15	200	upper	27	958	508	0.4697	0.9429	0.4708	111.0
sompy	wingnut	60	100							1.0	random		0.2013	100	upper	29	962	510	0.4699	0.9469	0.4720	111.4
sompy	wingnut	40	60							3.0	pca		0.15	100	upper	13	840	430	0.4881	0.8268	0.4433	31.0
sompy	wingnut	60	100							1.0	random		0.2013	200	upper	27	958	508	0.4697	0.9429	0.4708	111.6
sompy	wingnut	40	60							3.0	pca		0.15	200	upper	13	836	428	0.4880	0.8228	0.4421	30.9
sompy	wingnut	60	100							1.0	random		0.25	100	upper	29	962	510	0.4699	0.9469	0.4720	110.6
sompy	wingnut	40	60							3.0	pca		0.2013	100	upper	13	840	430	0.4881	0.8268	0.4433	30.8
sompy	wingnut	60	100							1.0	random		0.25	200	upper	27	958	508	0.4697	0.9429	0.4708	111.0
sompy	wingnut	50	82							3.0	pca		0.15	100	upper	15	908	465	0.4879	0.8937	0.4633	114.3
sompy	wingnut	40	60							3.0	pca		0.2013	200	upper	13	836	428	0.4880	0.8228	0.4421	30.7
sompy	wingnut	50	82							3.0	pca		0.15	200	upper	15	908	465	0.4879	0.8937	0.4633	113.4
sompy	wingnut	40	60							3.0	pca		0.25	100	upper	13	840	430	0.4881	0.8268	0.4433	30.6
sompy	wingnut	50	82							3.0	pca		0.2013	100	upper	15	908	465	0.4879	0.8937	0.4633	113.4
sompy	wingnut	50	82							3.0	pca		0.2013	200	upper	15	908	465	0.4879	0.8937	0.4633	114.0
sompy	wingnut	40	60							3.0	pca		0.25	200	upper	13	836	428	0.4880	0.8228	0.4421	30.6
sompy	wingnut	50	82							3.0	pca		0.25	100	upper	15	908	465	0.4879	0.8937	0.4633	114.8
