backend	dataset	grid_rows	grid_cols	iterations	epochs	sigma	learning_rate	neighborhood_function	batch_size	train_len_factor	initialization	mapshape	pareto_fraction	n_threshold_steps	threshold_anchor	n_clusters	n_assigned	n_wrong	purity	coverage	paper_score	elapsed_s
torchsom	atom	50	82		50	1.0	0.3		32				0.15	100	upper	15	26	15	0.4231	0.0325	0.1790	5.3
torchsom	atom	50	82		50	1.0	0.3		32				0.15	200	upper	20	26	15	0.4231	0.0325	0.1790	2.5
torchsom	atom	50	82		50	1.0	0.3		32				0.2013	100	upper	15	26	15	0.4231	0.0325	0.1790	2.2
torchsom	atom	50	82		50	1.0	0.3		32				0.2013	200	upper	20	26	15	0.4231	0.0325	0.1790	2.4
torchsom	atom	50	82		50	1.0	0.3		32				0.25	100	upper	15	26	15	0.4231	0.0325	0.1790	2.2
torchsom	atom	50	82		50	1.0	0.3		32				0.25	200	upper	20	26	15	0.4231	0.0325	0.1790	2.5
torchsom	atom	50	82		50	1.0	0.5		32				0.15	100	upper	13	18	8	0.5556	0.0225	0.2290	2.2
torchsom	atom	50	82		50	1.0	0.5		32				0.15	200	upper	16	18	11	0.3889	0.0225	0.1623	2.5
torchsom	atom	50	82		50	1.0	0.5		32				0.2013	100	upper	13	18	8	0.5556	0.0225	0.2290	2.1
torchsom	atom	50	82		50	1.0	0.5		32				0.2013	200	upper	16	18	11	0.3889	0.0225	0.1623	2.5
torchsom	atom	50	82		50	1.0	0.5		32				0.25	100	upper	13	18	8	0.5556	0.0225	0.2290	2.2
torchsom	atom	50	82		50	1.0	0.5		32				0.25	200	upper	16	18	11	0.3889	0.0225	0.1623	2.5
torchsom	atom	50	82		50	8.0	0.3		32				0.15	100	upper	1	800	400	0.5000	1.0000	0.6500	2.0
torchsom	atom	50	82		50	8.0	0.3		32				0.15	200	upper	1	800	400	0.5000	1.0000	0.6500	2.1
torchsom	atom	50	82		50	8.0	0.3		32				0.2013	100	upper	1	800	400	0.5000	1.0000	0.6500	2.1
torchsom	atom	50	82		50	8.0	0.3		32				0.2013	200	upper	1	800	400	0.5000	1.0000	0.6500	2.2
torchsom	atom	50	82		50	8.0	0.3		32				0.25	100	upper	1	800	400	0.5000	1.0000	0.6500	2.0
torchsom	atom	50	82		50	8.0	0.3		32				0.25	200	upper	1	800	400	0.5000	1.0000	0.6500	2.2
torchsom	atom	50	82		50	8.0	0.5		32				0.15	100	upper	1	800	400	0.5000	1.0000	0.6500	2.1
