backend	dataset	grid_rows	grid_cols	iterations	epochs	sigma	learning_rate	neighborhood_function	batch_size	train_len_factor	initialization	mapshape	pareto_fraction	n_threshold_steps	threshold_anchor	n_clusters	n_assigned	n_wrong	purity	coverage	paper_score	elapsed_s
torchsom	chainlink	50	82		50	1.0	0.3		32				0.15	100	upper	8	30	15	0.5000	0.0300	0.2090	2.6
torchsom	chainlink	40	60		50	1.0	0.3		32				0.15	100	upper	3	67	15	0.7761	0.0670	0.6305	1.7
torchsom	chainlink	60	100		50	1.0	0.3		32				0.15	100	upper	4	39	7	0.8205	0.0390	0.5399	3.6
torchsom	chainlink	50	82		50	1.0	0.3		32				0.15	200	upper	8	30	15	0.5000	0.0300	0.2090	2.9
torchsom	chainlink	40	60		50	1.0	0.3		32				0.15	200	upper	5	39	16	0.5897	0.0390	0.3476	1.8
torchsom	chainlink	60	100		50	1.0	0.3		32				0.15	200	upper	1	34	5	0.8529	0.0340	0.4514	4.0
torchsom	chainlink	50	82		50	1.0	0.3		32				0.2013	100	upper	8	30	15	0.5000	0.0300	0.2090	2.5
torchsom	chainlink	40	60		50	1.0	0.3		32				0.2013	100	upper	3	67	15	0.7761	0.0670	0.6305	1.6
torchsom	chainlink	60	100		50	1.0	0.3		32				0.2013	100	upper	4	39	7	0.8205	0.0390	0.5399	3.5
torchsom	chainlink	50	82		50	1.0	0.3		32				0.2013	200	upper	8	30	15	0.5000	0.0300	0.2090	2.9
torchsom	chainlink	40	60		50	1.0	0.3		32				0.2013	200	upper	5	39	16	0.5897	0.0390	0.3476	1.8
torchsom	chainlink	60	100		50	1.0	0.3		32				0.2013	200	upper	1	34	5	0.8529	0.0340	0.4514	4.1
torchsom	chainlink	50	82		50	1.0	0.3		32				0.25	100	upper	8	30	15	0.5000	0.0300	0.2090	2.6
torchsom	chainlink	40	60		50	1.0	0.3		32				0.25	100	upper	3	67	15	0.7761	0.0670	0.6305	1.6
torchsom	chainlink	60	100		50	1.0	0.3		32				0.25	100	upper	4	39	7	0.8205	0.0390	0.5399	3.6
torchsom	chainlink	50	82		50	1.0	0.3		32				0.25	200	upper	8	30	15	0.5000	0.0300	0.2090	2.9
torchsom	chainlink	40	60		50	1.0	0.3		32				0.25	200	upper	5	39	16	0.5897	0.0390	0.3476	1.8
