backend	dataset	grid_rows	grid_cols	iterations	epochs	sigma	learning_rate	neighborhood_function	batch_size	train_len_factor	initialization	mapshape	pareto_fraction	n_threshold_steps	threshold_anchor	n_clusters	n_assigned	n_wrong	purity	coverage	paper_score	elapsed_s
torchsom	chainlink_u	50	82		50	1.0	0.3		32				0.15	100	upper	8	30	15	0.5000	0.0300	0.2090	2.6
torchsom	chainlink_u	50	82		50	1.0	0.3		32				0.15	200	upper	8	30	15	0.5000	0.0300	0.2090	2.9
torchsom	chainlink_u	50	82		50	1.0	0.3		32				0.2013	100	upper	8	30	15	0.5000	0.0300	0.2090	2.6
torchsom	chainlink_u	50	82		50	1.0	0.3		32				0.2013	200	upper	8	30	15	0.5000	0.0300	0.2090	2.9
torchsom	chainlink_u	50	82		50	1.0	0.3		32				0.25	100	upper	8	30	15	0.5000	0.0300	0.2090	2.5
torchsom	chainlink_u	50	82		50	1.0	0.3		32				0.25	200	upper	8	30	15	0.5000	0.0300	0.2090	2.9
torchsom	chainlink_u	50	82		50	1.0	0.5		32				0.15	100	upper	6	25	8	0.6800	0.0250	0.2795	2.6
torchsom	chainlink_u	50	82		50	1.0	0.5		32				0.15	200	upper	7	25	8	0.6800	0.0250	0.2795	2.9
torchsom	chainlink_u	50	82		50	1.0	0.5		32				0.2013	100	upper	6	25	8	0.6800	0.0250	0.2795	2.5
torchsom	chainlink_u	50	82		50	1.0	0.5		32				0.2013	200	upper	7	25	8	0.6800	0.0250	0.2795	2.9
torchsom	chainlink_u	50	82		50	1.0	0.5		32				0.25	100	upper	6	25	8	0.6800	0.0250	0.2795	2.6
torchsom	chainlink_u	50	82		50	1.0	0.5		32				0.25	200	upper	7	25	8	0.6800	0.0250	0.2795	2.9
torchsom	chainlink_u	50	82		50	8.0	0.3		32				0.15	100	upper	2	999	466	0.5335	0.9990	0.8131	2.5
torchsom	chainlink_u	50	82		50	8.0	0.3		32				0.15	200	upper	2	999	466	0.5335	0.9990	0.8131	2.7
torchsom	chainlink_u	50	82		50	8.0	0.3		32				0.2013	100	upper	2	999	466	0.5335	0.9990	0.8131	2.5
torchsom	chainlink_u	50	82		50	8.0	0.3		32				0.2013	200	upper	2	999	466	0.5335	0.9990	0.8131	2.7
torchsom	chainlink_u	50	82		50	8.0	0.3		32				0.25	100	upper	2	999	466	0.5335	0.9990	0.8131	2.5
torchsom	chainlink_u	50	82		50	8.0	0.3		32				0.25	200	upper	2	999	466	0.5335	0.9990	0.8131	2.7
torchsom	chainlink_u	50	82		50	8.0	0.5		32				0.15	100	upper	2	999	472	0.5275	0.9990	0.8107	2.5
torchsom	chainlink_u	50	82		50	8.0	0.5		32				0.15	200	upper	2	999	472	0.5275	0.9990	0.8107	2.7
torchsom	chainlink_u	50	82		50	8.0	0.5		32				0.2013	100	upper	2	999	472	0.5275	0.9990	0.8107	2.5
torchsom	chainlink_u	50	82		50	8.0	0.5		32				0.2013	200	upper	2	999	472	0.5275	0.9990	0.8107	2.8
torchsom	chainlink_u	50	82		50	8.0	0.5		32				0.25	100	upper	2	999	472	0.5275	0.9990	0.8107	2.5
torchsom	chainlink_u	50	82		50	8.0	0.5		32				0.25	200	upper	2	999	472	0.5275	0.9990	0.8107	2.7
torchsom	chainlink_u	50	82		50	20.0	0.3		32				0.15	100	upper	1	1000	500	0.5000	1.0000	0.6500	2.4
torchsom	chainlink_u	50	82		50	20.0	0.3		32				0.15	200	upper	1	1000	500	0.5000	1.0000	0.6500	2.5
torchsom	chainlink_u	50	82		50	20.0	0.3		32				0.2013	100	upper	1	1000	500	0.5000	1.0000	0.6500	2.4
torchsom	chainlink_u	50	82		50	20.0	0.3		32				0.2013	200	upper	1	1000	500	0.5000	1.0000	0.6500	2.6
torchsom	chainlink_u	50	82		50	20.0	0.3		32				0.25	100	upper	1	1000	500	0.5000	1.0000	0.6500	2.4
torchsom	chainlink_u	50	82		50	20.0	0.3		32				0.25	200	upper	1	1000	500	0.5000	1.0000	0.6500	2.6
torchsom	chainlink_u	50	82		50	20.0	0.5		32				0.15	100	upper	1	1000	500	0.5000	1.0000	0.6500	2.4
torchsom	chainlink_u	50	82		50	20.0	0.5		32				0.15	200	upper	1	1000	500	0.5000	1.0000	0.6500	2.6
torchsom	chainlink_u	50	82		50	20.0	0.5		32				0.2013	100	upper	1	1000	500	0.5000	1.0000	0.6500	2.4
torchsom	chainlink_u	50	82		50	20.0	0.5		32				0.2013	200	upper	1	1000	500	0.5000	1.0000	0.6500	2.6
torchsom	chainlink_u	50	82		50	20.0	0.5		32				0.25	100	upper	1	1000	500	0.5000	1.0000	0.6500	2.5
torchsom	chainlink_u	50	82		50	20.0	0.5		32				0.25	200	upper	1	1000	500	0.5000	1.0000	0.6500	2.6
torchsom	chainlink_u	50	82		150	1.0	0.3		32				0.15	100	upper	10	18	8	0.5556	0.0180	0.2276	6.7
torchsom	chainlink_u	50	82		150	1.0	0.3		32				0.15	200	upper	8	12	3	0.7500	0.0120	0.3036	6.8
torchsom	chainlink_u	50	82		150	1.0	0.3		32				0.2013	100	upper	10	18	8	0.5556	0.0180	0.2276	6.5
torchsom	chainlink_u	50	82		150	1.0	0.3		32				0.2013	200	upper	8	12	3	0.7500	0.0120	0.3036	6.9
torchsom	chainlink_u	50	82		150	1.0	0.3		32				0.25	100	upper	10	18	8	0.5556	0.0180	0.2276	6.5
torchsom	chainlink_u	50	82		150	1.0	0.3		32				0.25	200	upper	8	12	3	0.7500	0.0120	0.3036	6.9
torchsom	chainlink_u	50	82		150	1.0	0.5		32				0.15	100	upper	10	40	14	0.6500	0.0400	0.2720	6.6
torchsom	chainlink_u	50	82		150	1.0	0.5		32				0.15	200	upper	7	30	9	0.7000	0.0300	0.2890	6.9
torchsom	chainlink_u	50	82		150	1.0	0.5		32				0.2013	100	upper	10	40	14	0.6500	0.0400	0.2720	6.6
torchsom	chainlink_u	50	82		150	1.0	0.5		32				0.2013	200	upper	7	30	9	0.7000	0.0300	0.2890	6.9
torchsom	chainlink_u	50	82		150	1.0	0.5		32				0.25	100	upper	10	40	14	0.6500	0.0400	0.2720	6.6
torchsom	chainlink_u	50	82		150	1.0	0.5		32				0.25	200	upper	7	30	9	0.7000	0.0300	0.2890	6.8
torchsom	chainlink_u	50	82		150	8.0	0.3		32				0.15	100	upper	3	993	255	0.7432	0.9930	0.7452	6.5
torchsom	chainlink_u	50	82		150	8.0	0.3		32				0.15	200	upper	3	988	252	0.7449	0.9880	0.7444	6.8
torchsom	chainlink_u	50	82		150	8.0	0.3		32				0.2013	100	upper	3	993	255	0.7432	0.9930	0.7452	6.5
torchsom	chainlink_u	50	82		150	8.0	0.3		32				0.2013	200	upper	3	988	252	0.7449	0.9880	0.7444	6.8
torchsom	chainlink_u	50	82		150	8.0	0.3		32				0.25	100	upper	3	993	255	0.7432	0.9930	0.7452	6.6
torchsom	chainlink_u	50	82		150	8.0	0.3		32				0.25	200	upper	3	988	252	0.7449	0.9880	0.7444	7.0
torchsom	chainlink_u	50	82		150	8.0	0.5		32				0.15	100	upper	3	997	252	0.7472	0.9970	0.7480	6.8
torchsom	chainlink_u	50	82		150	8.0	0.5		32				0.15	200	upper	3	997	252	0.7472	0.9970	0.7480	7.1
torchsom	chainlink_u	50	82		150	8.0	0.5		32				0.2013	100	upper	3	997	252	0.7472	0.9970	0.7480	6.6
torchsom	chainlink_u	50	82		150	8.0	0.5		32				0.2013	200	upper	3	997	252	0.7472	0.9970	0.7480	7.2
torchsom	chainlink_u	50	82		150	8.0	0.5		32				0.25	100	upper	3	997	252	0.7472	0.9970	0.7480	6.6
torchsom	chainlink_u	50	82		150	8.0	0.5		32				0.25	200	upper	3	997	252	0.7472	0.9970	0.7480	6.9
torchsom	chainlink_u	50	82		150	20.0	0.3		32				0.15	100	upper	1	1000	500	0.5000	1.0000	0.6500	6.6
torchsom	chainlink_u	50	82		150	20.0	0.3		32				0.15	200	upper	1	1000	500	0.5000	1.0000	0.6500	6.7
torchsom	chainlink_u	50	82		150	20.0	0.3		32				0.2013	100	upper	1	1000	500	0.5000	1.0000	0.6500	6.8
torchsom	chainlink_u	50	82		150	20.0	0.3		32				0.2013	200	upper	1	1000	500	0.5000	1.0000	0.6500	6.9
torchsom	chainlink_u	50	82		150	20.0	0.3		32				0.25	100	upper	1	1000	500	0.5000	1.0000	0.6500	6.7
torchsom	chainlink_u	50	82		150	20.0	0.3		32				0.25	200	upper	1	1000	500	0.5000	1.0000	0.6500	6.9
torchsom	chainlink_u	50	82		150	20.0	0.5		32				0.15	100	upper	1	1000	500	0.5000	1.0000	0.6500	6.7
torchsom	chainlink_u	50	82		150	20.0	0.5		32				0.15	200	upper	1	1000	500	0.5000	1.0000	0.6500	6.8
torchsom	chainlink_u	50	82		150	20.0	0.5		32				0.2013	100	upper	1	1000	500	0.5000	1.0000	0.6500	6.8
torchsom	chainlink_u	50	82		150	20.0	0.5		32				0.2013	200	upper	1	1000	500	0.5000	1.0000	0.6500	6.6
torchsom	chainlink_u	50	82		150	20.0	0.5		32				0.25	100	upper	1	1000	500	0.5000	1.0000	0.6500	6.7
torchsom	chainlink_u	50	82		150	20.0	0.5		32				0.25	200	upper	1	1000	500	0.5000	1.0000	0.6500	7.1
torchsom	chainlink_u	50	82		400	1.0	0.3		32				0.15	100	upper	15	31	17	0.4516	0.0310	0.1899	17.4
torchsom	chainlink_u	50	82		400	1.0	0.3		32				0.15	200	upper	10	17	6	0.6471	0.0170	0.2639	17.8
torchsom	chainlink_u	50	82		400	1.0	0.3		32				0.2013	100	upper	15	31	17	0.4516	0.0310	0.1899	17.6
torchsom	chainlink_u	50	82		400	1.0	0.3		32				0.2013	200	upper	10	17	6	0.6471	0.0170	0.2639	18.0
torchsom	chainlink_u	50	82		400	1.0	0.3		32				0.25	100	upper	15	31	17	0.4516	0.0310	0.1899	18.2
torchsom	chainlink_u	50	82		400	1.0	0.3		32				0.25	200	upper	10	17	6	0.6471	0.0170	0.2639	18.0
torchsom	chainlink_u	50	82		400	1.0	0.5		32				0.15	100	upper	25	57	35	0.3860	0.0570	0.1715	17.8
torchsom	chainlink_u	50	82		400	1.0	0.5		32				0.15	200	upper	21	45	26	0.4222	0.0450	0.1824	18.2
torchsom	chainlink_u	50	82		400	1.0	0.5		32				0.2013	100	upper	25	57	35	0.3860	0.0570	0.1715	18.0
torchsom	chainlink_u	50	82		400	1.0	0.5		32				0.2013	200	upper	21	45	26	0.4222	0.0450	0.1824	17.7
torchsom	chainlink_u	50	82		400	1.0	0.5		32				0.25	100	upper	25	57	35	0.3860	0.0570	0.1715	17.1
torchsom	chainlink_u	50	82		400	1.0	0.5		32				0.25	200	upper	21	45	26	0.4222	0.0450	0.1824	17.3
torchsom	chainlink_u	50	82		400	8.0	0.3		32				0.15	100	upper	2	1000	472	0.5280	1.0000	0.8112	16.5
torchsom	chainlink_u	50	82		400	8.0	0.3		32				0.15	200	upper	2	1000	472	0.5280	1.0000	0.8112	16.9
torchsom	chainlink_u	50	82		400	8.0	0.3		32				0.2013	100	upper	2	1000	472	0.5280	1.0000	0.8112	16.6
torchsom	chainlink_u	50	82		400	8.0	0.3		32				0.2013	200	upper	2	1000	472	0.5280	1.0000	0.8112	16.8
torchsom	chainlink_u	50	82		400	8.0	0.3		32				0.25	100	upper	2	1000	472	0.5280	1.0000	0.8112	16.7
torchsom	chainlink_u	50	82		400	8.0	0.3		32				0.25	200	upper	2	1000	472	0.5280	1.0000	0.8112	16.8
torchsom	chainlink_u	50	82		400	8.0	0.5		32				0.15	100	upper	2	998	471	0.5281	0.9980	0.8106	16.7
torchsom	chainlink_u	50	82		400	8.0	0.5		32				0.15	200	upper	2	998	471	0.5281	0.9980	0.8106	17.0
torchsom	chainlink_u	50	82		400	8.0	0.5		32				0.2013	100	upper	2	998	471	0.5281	0.9980	0.8106	16.8
torchsom	chainlink_u	50	82		400	8.0	0.5		32				0.2013	200	upper	2	998	471	0.5281	0.9980	0.8106	16.9
torchsom	chainlink_u	50	82		400	8.0	0.5		32				0.25	100	upper	2	998	471	0.5281	0.9980	0.8106	16.8
torchsom	chainlink_u	50	82		400	8.0	0.5		32				0.25	200	upper	2	998	471	0.5281	0.9980	0.8106	17.1
torchsom	chainlink_u	50	82		400	20.0	0.3		32				0.15	100	upper	1	1000	500	0.5000	1.0000	0.6500	16.8
torchsom	chainlink_u	50	82		400	20.0	0.3		32				0.15	200	upper	1	1000	500	0.5000	1.0000	0.6500	16.9
torchsom	chainlink_u	50	82		400	20.0	0.3		32				0.2013	100	upper	1	1000	500	0.5000	1.0000	0.6500	16.8
torchsom	chainlink_u	50	82		400	20.0	0.3		32				0.2013	200	upper	1	1000	500	0.5000	1.0000	0.6500	16.8
torchsom	chainlink_u	50	82		400	20.0	0.3		32				0.25	100	upper	1	1000	500	0.5000	1.0000	0.6500	16.9
torchsom	chainlink_u	50	82		400	20.0	0.3		32				0.25	200	upper	1	1000	500	0.5000	1.0000	0.6500	17.0
torchsom	chainlink_u	50	82		400	20.0	0.5		32				0.15	100	upper	1	1000	500	0.5000	1.0000	0.6500	16.8
torchsom	chainlink_u	50	82		400	20.0	0.5		32				0.15	200	upper	1	1000	500	0.5000	1.0000	0.6500	16.9
torchsom	chainlink_u	50	82		400	20.0	0.5		32				0.2013	100	upper	1	1000	500	0.5000	1.0000	0.6500	16.7
torchsom	chainlink_u	50	82		400	20.0	0.5		32				0.2013	200	upper	1	1000	500	0.5000	1.0000	0.6500	16.9
torchsom	chainlink_u	50	82		400	20.0	0.5		32				0.25	100	upper	1	1000	500	0.5000	1.0000	0.6500	16.8
torchsom	chainlink_u	50	82		400	20.0	0.5		32				0.25	200	upper	1	1000	500	0.5000	1.0000	0.6500	16.8
