backend	dataset	grid_rows	grid_cols	iterations	epochs	sigma	learning_rate	neighborhood_function	batch_size	train_len_factor	initialization	mapshape	pareto_fraction	n_threshold_steps	threshold_anchor	n_clusters	n_assigned	n_wrong	purity	coverage	paper_score	elapsed_s
torchsom	lsun	50	82		50	1.0	0.3		32				0.15	100	upper	2	348	162	0.5345	0.8614	0.6722	4.5
torchsom	lsun	40	60		50	1.0	0.3		32				0.15	100	upper	3	336	160	0.5238	0.8317	0.7590	0.8
torchsom	lsun	60	100		50	1.0	0.3		32				0.15	100	upper	1	353	168	0.5241	0.8738	0.5718	1.9
torchsom	lsun	50	82		50	1.0	0.3		32				0.15	200	upper	6	340	159	0.5324	0.8416	0.4654	1.6
torchsom	lsun	40	60		50	1.0	0.3		32				0.15	200	upper	4	324	157	0.5154	0.8020	0.6468	0.9
torchsom	lsun	60	100		50	1.0	0.3		32				0.15	200	upper	2	352	164	0.5341	0.8713	0.6750	2.2
torchsom	lsun	50	82		50	1.0	0.3		32				0.2013	100	upper	2	348	162	0.5345	0.8614	0.6722	1.3
torchsom	lsun	40	60		50	1.0	0.3		32				0.2013	100	upper	3	336	160	0.5238	0.8317	0.7590	0.7
torchsom	lsun	60	100		50	1.0	0.3		32				0.2013	100	upper	1	353	168	0.5241	0.8738	0.5718	1.8
torchsom	lsun	50	82		50	1.0	0.3		32				0.2013	200	upper	6	340	159	0.5324	0.8416	0.4654	1.6
torchsom	lsun	40	60		50	1.0	0.3		32				0.2013	200	upper	4	324	157	0.5154	0.8020	0.6468	0.9
torchsom	lsun	60	100		50	1.0	0.3		32				0.2013	200	upper	2	352	164	0.5341	0.8713	0.6750	2.3
torchsom	lsun	50	82		50	1.0	0.3		32				0.25	100	upper	2	348	162	0.5345	0.8614	0.6722	1.3
torchsom	lsun	40	60		50	1.0	0.3		32				0.25	100	upper	3	336	160	0.5238	0.8317	0.7590	0.8
torchsom	lsun	60	100		50	1.0	0.3		32				0.25	100	upper	1	353	168	0.5241	0.8738	0.5718	1.8
torchsom	lsun	50	82		50	1.0	0.3		32				0.25	200	upper	6	340	159	0.5324	0.8416	0.4654	1.6
torchsom	lsun	40	60		50	1.0	0.3		32				0.25	200	upper	4	324	157	0.5154	0.8020	0.6468	0.9
