backend	dataset	grid_rows	grid_cols	iterations	epochs	sigma	learning_rate	neighborhood_function	batch_size	train_len_factor	initialization	mapshape	pareto_fraction	n_threshold_steps	threshold_anchor	n_clusters	n_assigned	n_wrong	purity	coverage	paper_score	elapsed_s
torchsom	twodiamonds	40	50		50	1.0	0.3		32				0.15	100	upper	6	586	285	0.5137	0.7325	0.4252	1.1
torchsom	twodiamonds	30	40		50	1.0	0.3		32				0.15	100	upper	3	632	311	0.5079	0.7900	0.5902	0.8
torchsom	twodiamonds	50	60		50	1.0	0.3		32				0.15	100	upper	5	662	325	0.5091	0.8275	0.4519	1.6
torchsom	twodiamonds	40	50		50	1.0	0.3		32				0.15	200	upper	5	613	301	0.5090	0.7662	0.4335	1.2
torchsom	twodiamonds	30	40		50	1.0	0.3		32				0.15	200	upper	3	621	305	0.5089	0.7762	0.5864	0.8
torchsom	twodiamonds	50	60		50	1.0	0.3		32				0.15	200	upper	18	642	344	0.4642	0.8025	0.4264	1.7
torchsom	twodiamonds	40	50		50	1.0	0.3		32				0.2013	100	upper	6	586	285	0.5137	0.7325	0.4252	1.1
torchsom	twodiamonds	30	40		50	1.0	0.3		32				0.2013	100	upper	3	632	311	0.5079	0.7900	0.5902	0.8
torchsom	twodiamonds	50	60		50	1.0	0.3		32				0.2013	100	upper	5	662	325	0.5091	0.8275	0.4519	1.6
torchsom	twodiamonds	40	50		50	1.0	0.3		32				0.2013	200	upper	5	613	301	0.5090	0.7662	0.4335	1.2
torchsom	twodiamonds	30	40		50	1.0	0.3		32				0.2013	200	upper	3	621	305	0.5089	0.7762	0.5864	0.8
torchsom	twodiamonds	50	60		50	1.0	0.3		32				0.2013	200	upper	18	642	344	0.4642	0.8025	0.4264	1.7
torchsom	twodiamonds	40	50		50	1.0	0.3		32				0.25	100	upper	6	586	285	0.5137	0.7325	0.4252	1.1
torchsom	twodiamonds	30	40		50	1.0	0.3		32				0.25	100	upper	3	632	311	0.5079	0.7900	0.5902	0.8
torchsom	twodiamonds	50	60		50	1.0	0.3		32				0.25	100	upper	5	662	325	0.5091	0.8275	0.4519	1.5
torchsom	twodiamonds	40	50		50	1.0	0.3		32				0.25	200	upper	5	613	301	0.5090	0.7662	0.4335	1.2
torchsom	twodiamonds	30	40		50	1.0	0.3		32				0.25	200	upper	3	621	305	0.5089	0.7762	0.5864	0.8
torchsom	twodiamonds	50	60		50	1.0	0.3		32				0.25	200	upper	18	642	344	0.4642	0.8025	0.4264	1.7
torchsom	twodiamonds	40	50		50	1.0	0.5		32				0.15	100	upper	4	607	295	0.5140	0.7588	0.4332	1.1
torchsom	twodiamonds	30	40		50	1.0	0.5		32				0.15	100	upper	3	631	312	0.5055	0.7887	0.5888	0.8
torchsom	twodiamonds	50	60		50	1.0	0.5		32				0.15	100	upper	7	649	319	0.5085	0.8113	0.4468	1.6
torchsom	twodiamonds	40	50		50	1.0	0.5		32				0.15	200	upper	12	567	287	0.4938	0.7087	0.4102	1.2
torchsom	twodiamonds	30	40		50	1.0	0.5		32				0.15	200	upper	3	629	311	0.5056	0.7863	0.5881	0.8
torchsom	twodiamonds	50	60		50	1.0	0.5		32				0.15	200	upper	24	629	346	0.4499	0.7863	0.4158	1.7
torchsom	twodiamonds	40	50		50	1.0	0.5		32				0.2013	100	upper	4	607	295	0.5140	0.7588	0.4332	1.1
torchsom	twodiamonds	30	40		50	1.0	0.5		32				0.2013	100	upper	3	631	312	0.5055	0.7887	0.5888	0.8
torchsom	twodiamonds	50	60		50	1.0	0.5		32				0.2013	100	upper	7	649	319	0.5085	0.8113	0.4468	1.6
torchsom	twodiamonds	40	50		50	1.0	0.5		32				0.2013	200	upper	12	567	287	0.4938	0.7087	0.4102	1.2
torchsom	twodiamonds	30	40		50	1.0	0.5		32				0.2013	200	upper	3	629	311	0.5056	0.7863	0.5881	0.8
torchsom	twodiamonds	50	60		50	1.0	0.5		32				0.2013	200	upper	24	629	346	0.4499	0.7863	0.4158	1.7
torchsom	twodiamonds	40	50		50	1.0	0.5		32				0.25	100	upper	4	607	295	0.5140	0.7588	0.4332	1.1
torchsom	twodiamonds	30	40		50	1.0	0.5		32				0.25	100	upper	3	631	312	0.5055	0.7887	0.5888	0.8
torchsom	twodiamonds	50	60		50	1.0	0.5		32				0.25	100	upper	7	649	319	0.5085	0.8113	0.4468	1.6
torchsom	twodiamonds	40	50		50	1.0	0.5		32				0.25	200	upper	12	567	287	0.4938	0.7087	0.4102	1.3
torchsom	twodiamonds	30	40		50	1.0	0.5		32				0.25	200	upper	3	629	311	0.5056	0.7863	0.5881	0.8
torchsom	twodiamonds	50	60		50	1.0	0.5		32				0.25	200	upper	24	629	346	0.4499	0.7863	0.4158	1.7
torchsom	twodiamonds	40	50		50	8.0	0.3		32				0.15	100	upper	1	718	358	0.5014	0.8975	0.6198	1.1
torchsom	twodiamonds	30	40		50	8.0	0.3		32				0.15	100	upper	1	730	364	0.5014	0.9125	0.6243	0.8
torchsom	twodiamonds	50	60		50	8.0	0.3		32				0.15	100	upper	1	724	359	0.5041	0.9050	0.6232	1.5
torchsom	twodiamonds	40	50		50	8.0	0.3		32				0.15	200	upper	1	717	358	0.5007	0.8962	0.6192	1.2
torchsom	twodiamonds	30	40		50	8.0	0.3		32				0.15	200	upper	1	730	364	0.5014	0.9125	0.6243	0.8
torchsom	twodiamonds	50	60		50	8.0	0.3		32				0.15	200	upper	1	723	359	0.5035	0.9038	0.6225	1.7
torchsom	twodiamonds	40	50		50	8.0	0.3		32				0.2013	100	upper	1	718	358	0.5014	0.8975	0.6198	1.1
torchsom	twodiamonds	30	40		50	8.0	0.3		32				0.2013	100	upper	1	730	364	0.5014	0.9125	0.6243	0.8
torchsom	twodiamonds	50	60		50	8.0	0.3		32				0.2013	100	upper	1	724	359	0.5041	0.9050	0.6232	1.5
torchsom	twodiamonds	40	50		50	8.0	0.3		32				0.2013	200	upper	1	717	358	0.5007	0.8962	0.6192	1.2
torchsom	twodiamonds	30	40		50	8.0	0.3		32				0.2013	200	upper	1	730	364	0.5014	0.9125	0.6243	0.8
