backend	dataset	grid_rows	grid_cols	iterations	epochs	sigma	learning_rate	neighborhood_function	batch_size	train_len_factor	initialization	mapshape	pareto_fraction	n_threshold_steps	threshold_anchor	n_clusters	n_assigned	n_wrong	purity	coverage	paper_score	elapsed_s
torchsom	wingnut	50	82		50	1.0	0.3		32				0.15	100	upper	10	811	404	0.5018	0.7982	0.4402	2.6
torchsom	wingnut	40	60		50	1.0	0.3		32				0.15	100	upper	9	738	370	0.4986	0.7264	0.4174	1.6
torchsom	wingnut	60	100		50	1.0	0.3		32				0.15	100	upper	10	843	422	0.4994	0.8297	0.4487	3.6
torchsom	wingnut	50	82		50	1.0	0.3		32				0.15	200	upper	11	784	391	0.5013	0.7717	0.4320	2.8
torchsom	wingnut	40	60		50	1.0	0.3		32				0.15	200	upper	13	722	370	0.4875	0.7106	0.4082	1.9
torchsom	wingnut	60	100		50	1.0	0.3		32				0.15	200	upper	23	822	422	0.4866	0.8091	0.4374	3.9
torchsom	wingnut	50	82		50	1.0	0.3		32				0.2013	100	upper	10	811	404	0.5018	0.7982	0.4402	2.5
torchsom	wingnut	40	60		50	1.0	0.3		32				0.2013	100	upper	9	738	370	0.4986	0.7264	0.4174	1.6
torchsom	wingnut	60	100		50	1.0	0.3		32				0.2013	100	upper	10	843	422	0.4994	0.8297	0.4487	3.6
torchsom	wingnut	50	82		50	1.0	0.3		32				0.2013	200	upper	11	784	391	0.5013	0.7717	0.4320	2.8
torchsom	wingnut	40	60		50	1.0	0.3		32				0.2013	200	upper	13	722	370	0.4875	0.7106	0.4082	1.7
torchsom	wingnut	60	100		50	1.0	0.3		32				0.2013	200	upper	23	822	422	0.4866	0.8091	0.4374	4.0
torchsom	wingnut	50	82		50	1.0	0.3		32				0.25	100	upper	10	811	404	0.5018	0.7982	0.4402	2.8
torchsom	wingnut	40	60		50	1.0	0.3		32				0.25	100	upper	9	738	370	0.4986	0.7264	0.4174	1.6
torchsom	wingnut	60	100		50	1.0	0.3		32				0.25	100	upper	10	843	422	0.4994	0.8297	0.4487	3.6
torchsom	wingnut	50	82		50	1.0	0.3		32				0.25	200	upper	11	784	391	0.5013	0.7717	0.4320	3.0
torchsom	wingnut	40	60		50	1.0	0.3		32				0.25	200	upper	13	722	370	0.4875	0.7106	0.4082	1.7
